,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Major Group,ISCO Minor Code (TR),"Match Score (Exact = 1, Similar = 2) ",Matched to title instead of direct title,He/She is a <occupation>. / O bir <meslek>.,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,
41-2031,41,2031,Retail Salespersons,Pet Supplies Salesperson,5242.06,5,Evcil Hayvan Malzemeleri Satış Elemanı,1,,O bir evcil hayvan malzemeleri satış elemanı.,O çok iyi bir evcil hayvan malzemeleri satış elemanı.,O iyi bir evcil hayvan malzemeleri satış elemanı.,O kötü bir evcil hayvan malzemeleri satış elemanı.,O çok kötü bir evcil hayvan malzemeleri satış elemanı.
41-2031,41,2031,Retail Salespersons,Pets Salesperson,5242.06,5,Evcil Hayvan Satış Elemanı,1,,O bir evcil hayvan satış elemanı.,O çok iyi bir evcil hayvan satış elemanı.,O iyi bir evcil hayvan satış elemanı.,O kötü bir evcil hayvan satış elemanı.,O çok kötü bir evcil hayvan satış elemanı.
41-2031,41,2031,Retail Salespersons,Shoe Salesperson,5223.03,5,"Ayakkabı, Deri Ve Yan Ürünleri Satış Elemanı",1,,"O bir ayakkabı, deri ve yan ürünleri satış elemanı.","O çok iyi bir ayakkabı, deri ve yan ürünleri satış elemanı.","O iyi bir ayakkabı, deri ve yan ürünleri satış elemanı.","O kötü bir ayakkabı, deri ve yan ürünleri satış elemanı.","O çok kötü bir ayakkabı, deri ve yan ürünleri satış elemanı."
41-2031,41,2031,Retail Salespersons,Women's Apparel Salesperson,5223.26,5,Giyim Ve Giyim Aksesuarları Satış Elemanı,2,,O bir giyim ve giyim aksesuarları satış elemanı.,O çok iyi bir giyim ve giyim aksesuarları satış elemanı.,O iyi bir giyim ve giyim aksesuarları satış elemanı.,O kötü bir giyim ve giyim aksesuarları satış elemanı.,O çok kötü bir giyim ve giyim aksesuarları satış elemanı.
41-3011,41,3011,Advertising Sales Agents,,2431.05,2,Reklam Acentesi Yetkilisi,1,Y,O bir reklam acentesi yetkilisi.,O çok iyi bir reklam acentesi yetkilisi.,O iyi bir reklam acentesi yetkilisi.,O kötü bir reklam acentesi yetkilisi.,O çok kötü bir reklam acentesi yetkilisi.
41-3021,41,3021,Insurance Sales Agents,Health Insurance Sales Agent,3321.03,3,Sağlık Sigorta Satış Temsilcisi,1,,O bir sağlık sigorta satış temsilcisi.,O çok iyi bir sağlık sigorta satış temsilcisi.,O iyi bir sağlık sigorta satış temsilcisi.,O kötü bir sağlık sigorta satış temsilcisi.,O çok kötü bir sağlık sigorta satış temsilcisi.
41-3021,41,3021,Insurance Sales Agents,Insurance Agent,3321.05,3,Sigorta Aracısı,1,,O bir sigorta aracısı.,O çok iyi bir sigorta aracısı.,O iyi bir sigorta aracısı.,O kötü bir sigorta aracısı.,O çok kötü bir sigorta aracısı.
41-3021,41,3021,Insurance Sales Agents,Life Insurance Agent,3321.03,3,Hayat Sigorta Satış Temsilcisi,1,,O bir hayat sigorta satış temsilcisi.,O çok iyi bir hayat sigorta satış temsilcisi.,O iyi bir hayat sigorta satış temsilcisi.,O kötü bir hayat sigorta satış temsilcisi.,O çok kötü bir hayat sigorta satış temsilcisi.
41-3021,41,3021,Insurance Sales Agents,Pension Agent,3321.06,3,Bireysel Emeklilik Aracısı,1,,O bir bireysel emeklilik aracısı.,O çok iyi bir bireysel emeklilik aracısı.,O iyi bir bireysel emeklilik aracısı.,O kötü bir bireysel emeklilik aracısı.,O çok kötü bir bireysel emeklilik aracısı.
41-3031,41,3031,"Securities, Commodities, and Financial Services Sales Agents",Foreign Exchange Trader,4211.22,4,Döviz Alım Satım Elemanı,1,,O bir döviz alım satım elemanı.,O çok iyi bir döviz alım satım elemanı.,O iyi bir döviz alım satım elemanı.,O kötü bir döviz alım satım elemanı.,O çok kötü bir döviz alım satım elemanı.
41-3031,41,3031,"Securities, Commodities, and Financial Services Sales Agents",Stock Broker,3311.01,3,Borsa Komisyoncusu,1,,O bir borsa komisyoncusu.,O çok iyi bir borsa komisyoncusu.,O iyi bir borsa komisyoncusu.,O kötü bir borsa komisyoncusu.,O çok kötü bir borsa komisyoncusu.
41-3041,41,3041,Travel Agents,Travel Consultant,4221.09,4,Turizm Danışma Elemanı,1,,O bir turizm danışma elemanı.,O çok iyi bir turizm danışma elemanı.,O iyi bir turizm danışma elemanı.,O kötü bir turizm danışma elemanı.,O çok kötü bir turizm danışma elemanı.
41-3041,41,3041,Travel Agents,Travel Service Consultant,4221.04,4,Seyahat Hizmetleri Meslek Elemanı,2,,O bir seyahat hizmetleri meslek elemanı.,O çok iyi bir seyahat hizmetleri meslek elemanı.,O iyi bir seyahat hizmetleri meslek elemanı.,O kötü bir seyahat hizmetleri meslek elemanı.,O çok kötü bir seyahat hizmetleri meslek elemanı.
41-4011,41,4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",,3322.05,3,Satış Temsilcisi,1,Y,O bir satış temsilcisi.,O çok iyi bir satış temsilcisi.,O iyi bir satış temsilcisi.,O kötü bir satış temsilcisi.,O çok kötü bir satış temsilcisi.
41-4011,41,4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Pharmaceutical Sales Representative,2433.05,2,Eczacılık Ürünleri Satış Temsilcisi,1,,O bir eczacılık ürünleri satış temsilcisi.,O çok iyi bir eczacılık ürünleri satış temsilcisi.,O iyi bir eczacılık ürünleri satış temsilcisi.,O kötü bir eczacılık ürünleri satış temsilcisi.,O çok kötü bir eczacılık ürünleri satış temsilcisi.
41-4012,41,4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Freight Broker,3324.01,3,Gemi ve Yük Brokeri,1,,O bir gemi ve yük brokeri.,O çok iyi bir gemi ve yük brokeri.,O iyi bir gemi ve yük brokeri.,O kötü bir gemi ve yük brokeri.,O çok kötü bir gemi ve yük brokeri.
41-9011,41,9011,Demonstrators and Product Promoters,,5242.03,5,Demonstratör,1,Y,O bir demonstratör.,O çok iyi bir demonstratör.,O iyi bir demonstratör.,O kötü bir demonstratör.,O çok kötü bir demonstratör.
41-9012,41,9012,Models,,5241.02,5,Manken,1,Y,O bir manken.,O çok iyi bir manken.,O iyi bir manken.,O kötü bir manken.,O çok kötü bir manken.
41-9022,41,9022,Real Estate Sales Agents,,3334.01,3,Emlakçı,1,Y,O bir emlakçı.,O çok iyi bir emlakçı.,O iyi bir emlakçı.,O kötü bir emlakçı.,O çok kötü bir emlakçı.
41-9041,41,9041,Telemarketers,Inbound Telemarketer,5244.01,5,Sipariş Alıcı,1,,O bir sipariş alıcı.,O çok iyi bir sipariş alıcı.,O iyi bir sipariş alıcı.,O kötü bir sipariş alıcı.,O çok kötü bir sipariş alıcı.
41-9041,41,9041,Telemarketers,Telemarketing Sales Representative,5243.02,5,Telefonla Pazarlamacı,1,,O bir telefonla pazarlamacı.,O çok iyi bir telefonla pazarlamacı.,O iyi bir telefonla pazarlamacı.,O kötü bir telefonla pazarlamacı.,O çok kötü bir telefonla pazarlamacı.
41-9041,41,9041,Telemarketers,Telesales Representative,5244.02,5,Tele Satış Elemanı,1,,O bir tele satış elemanı.,O çok iyi bir tele satış elemanı.,O iyi bir tele satış elemanı.,O kötü bir tele satış elemanı.,O çok kötü bir tele satış elemanı.
41-9091,41,9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Newspaper Carrier,9520.02,9,Gazete Satıcısı,1,,O bir gazete satıcısı.,O çok iyi bir gazete satıcısı.,O iyi bir gazete satıcısı.,O kötü bir gazete satıcısı.,O çok kötü bir gazete satıcısı.
41-9091,41,9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",,5243.01,5,Kapıdan Kapıya Satış Temsilcisi,1,Y,O bir kapıdan kapıya satış temsilcisi.,O çok iyi bir kapıdan kapıya satış temsilcisi.,O iyi bir kapıdan kapıya satış temsilcisi.,O kötü bir kapıdan kapıya satış temsilcisi.,O çok kötü bir kapıdan kapıya satış temsilcisi.
41-9091,41,9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Peddler,9520.03,9,işportacı,1,,O bir işportacı.,O çok iyi bir işportacı.,O iyi bir işportacı.,O kötü bir işportacı.,O çok kötü bir işportacı.
41-9091,41,9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",,5212.04,5,Sokak Satıcısı,1,Y,O bir sokak satıcısı.,O çok iyi bir sokak satıcısı.,O iyi bir sokak satıcısı.,O kötü bir sokak satıcısı.,O çok kötü bir sokak satıcısı.
41-9099,41,9099,"Sales and Related Workers, All Other",Auctioneer,3315.01,3,Mezatçı,1,,O bir mezatçı.,O çok iyi bir mezatçı.,O iyi bir mezatçı.,O kötü bir mezatçı.,O çok kötü bir mezatçı.
41-9099,41,9099,"Sales and Related Workers, All Other",Leaflet Distributor,9510.05,9,El ilanı dağıtıcısı,1,,O bir el ilanı dağıtıcısı.,O çok iyi bir el ilanı dağıtıcısı.,O iyi bir el ilanı dağıtıcısı.,O kötü bir el ilanı dağıtıcısı.,O çok kötü bir el ilanı dağıtıcısı.
43-2011,43,2011,"Switchboard Operators, Including Answering Service",Telephone Switchboard Operator,4223.02,4,Telefon Santral Operatörü,1,,O bir telefon santral operatörü.,O çok iyi bir telefon santral operatörü.,O iyi bir telefon santral operatörü.,O kötü bir telefon santral operatörü.,O çok kötü bir telefon santral operatörü.
43-2021,43,2021,Telephone Operators,,3522.06,3,Telefon Operatörü,1,Y,O bir telefon operatörü.,O çok iyi bir telefon operatörü.,O iyi bir telefon operatörü.,O kötü bir telefon operatörü.,O çok kötü bir telefon operatörü.
43-2099,43,2099,"Communications Equipment Operators, All Other",Communications Equipment Operator,3522.09,3,Elektronik Haberleşme Teknisyeni,2,,O bir elektronik haberleşme teknisyeni.,O çok iyi bir elektronik haberleşme teknisyeni.,O iyi bir elektronik haberleşme teknisyeni.,O kötü bir elektronik haberleşme teknisyeni.,O çok kötü bir elektronik haberleşme teknisyeni.
43-2099,43,2099,"Communications Equipment Operators, All Other",Radio Operator,3521.13,3,Radyo Ve Televizyon Yayın Cihazları Operatörü,1,,O bir radyo ve televizyon yayın cihazları operatörü.,O çok iyi bir radyo ve televizyon yayın cihazları operatörü.,O iyi bir radyo ve televizyon yayın cihazları operatörü.,O kötü bir radyo ve televizyon yayın cihazları operatörü.,O çok kötü bir radyo ve televizyon yayın cihazları operatörü.
43-2099,43,2099,"Communications Equipment Operators, All Other",Telegraph and Teletype Operator,3521.23,3,Telgrafçı,1,,O bir telgrafçı.,O çok iyi bir telgrafçı.,O iyi bir telgrafçı.,O kötü bir telgrafçı.,O çok kötü bir telgrafçı.
,#VALUE!,,,,4131.07,4,Teletaypist,1,,O bir teletaypist.,O çok iyi bir teletaypist.,O iyi bir teletaypist.,O kötü bir teletaypist.,O çok kötü bir teletaypist.
43-2099,43,2099,"Communications Equipment Operators, All Other",Telex Operator,4131.06,4,Teleks Operatörü,1,,O bir teleks operatörü.,O çok iyi bir teleks operatörü.,O iyi bir teleks operatörü.,O kötü bir teleks operatörü.,O çok kötü bir teleks operatörü.
43-3011,43,3011,Bill and Account Collectors,Accounts Collector,4214.02,4,Hesap Tahsilatçısı,1,,O bir hesap tahsilatçısı.,O çok iyi bir hesap tahsilatçısı.,O iyi bir hesap tahsilatçısı.,O kötü bir hesap tahsilatçısı.,O çok kötü bir hesap tahsilatçısı.
43-3011,43,3011,Bill and Account Collectors,Bill Collector,4214.02,4,Fatura Tahsilatçısı,1,,O bir fatura tahsilatçısı.,O çok iyi bir fatura tahsilatçısı.,O iyi bir fatura tahsilatçısı.,O kötü bir fatura tahsilatçısı.,O çok kötü bir fatura tahsilatçısı.
43-3031,43,3031,"Bookkeeping, Accounting, and Auditing Clerks",Bookkeeper,4211.15,4,Sayman,1,,O bir sayman.,O çok iyi bir sayman.,O iyi bir sayman.,O kötü bir sayman.,O çok kötü bir sayman.
43-3031,43,3031,"Bookkeeping, Accounting, and Auditing Clerks",,3313.01,3,Muhasebe Yardımcı Elemanı,2,Y,O bir muhasebe yardımcı elemanı.,O çok iyi bir muhasebe yardımcı elemanı.,O iyi bir muhasebe yardımcı elemanı.,O kötü bir muhasebe yardımcı elemanı.,O çok kötü bir muhasebe yardımcı elemanı.
43-3051,43,3051,Payroll and Timekeeping Clerks,Timekeeper,4416.03,4,Puantör,2,,O bir puantör.,O çok iyi bir puantör.,O iyi bir puantör.,O kötü bir puantör.,O çok kötü bir puantör.
43-3071,43,3071,Tellers,Bank Teller,4211.07,4,Banka Veznedarı,1,,O bir banka veznedarı.,O çok iyi bir banka veznedarı.,O iyi bir banka veznedarı.,O kötü bir banka veznedarı.,O çok kötü bir banka veznedarı.
43-3099,43,3099,"Financial Clerks, All Other",,3311.06,3,Borsa Ve Finans Meslek Elemanı,1,,O bir borsa ve finans meslek elemanı.,O çok iyi bir borsa ve finans meslek elemanı.,O iyi bir borsa ve finans meslek elemanı.,O kötü bir borsa ve finans meslek elemanı.,O çok kötü bir borsa ve finans meslek elemanı.
43-3099,43,3099,"Financial Clerks, All Other",Safe Deposit Clerk,4321.18,4,Emanet Memuru,2,,O bir emanet memuru.,O çok iyi bir emanet memuru.,O iyi bir emanet memuru.,O kötü bir emanet memuru.,O çok kötü bir emanet memuru.
43-4011,43,4011,Brokerage Clerks,Commodities Clerk,3311.05,3,Emtia Borsası Meslek Elemanı,1,,O bir emtia borsası meslek elemanı.,O çok iyi bir emtia borsası meslek elemanı.,O iyi bir emtia borsası meslek elemanı.,O kötü bir emtia borsası meslek elemanı.,O çok kötü bir emtia borsası meslek elemanı.
43-4011,43,4011,Brokerage Clerks,Securities Clerk,3311.03,3,Menkul Kıymetler Meslek Elemanı,1,,O bir menkul kıymetler meslek elemanı.,O çok iyi bir menkul kıymetler meslek elemanı.,O iyi bir menkul kıymetler meslek elemanı.,O kötü bir menkul kıymetler meslek elemanı.,O çok kötü bir menkul kıymetler meslek elemanı.
43-4031,43,4031,"Court, Municipal, and License Clerks",Tax Clerk,3352.01,3,Vergi Memuru,1,,O bir vergi memuru.,O çok iyi bir vergi memuru.,O iyi bir vergi memuru.,O kötü bir vergi memuru.,O çok kötü bir vergi memuru.
43-4051,43,4051,Customer Service Representatives,,4419.02,4,Müşteri Hizmetleri Görevlisi,1,Y,O bir müşteri hizmetleri görevlisi.,O çok iyi bir müşteri hizmetleri görevlisi.,O iyi bir müşteri hizmetleri görevlisi.,O kötü bir müşteri hizmetleri görevlisi.,O çok kötü bir müşteri hizmetleri görevlisi.
43-4051,43,4051,Customer Service Representatives,Contact Center Specialist,4222.05,4,Çağrı Merkezi Elemanı,1,,O bir çağrı merkezi elemanı.,O çok iyi bir çağrı merkezi elemanı.,O iyi bir çağrı merkezi elemanı.,O kötü bir çağrı merkezi elemanı.,O çok kötü bir çağrı merkezi elemanı.
43-4051,43,4051,Customer Service Representatives,Customer Support Representative,4222.02,4,Çağrı Merkezi Müşteri Temsilcisi,2,,O bir çağrı merkezi müşteri temsilcisi.,O çok iyi bir çağrı merkezi müşteri temsilcisi.,O iyi bir çağrı merkezi müşteri temsilcisi.,O kötü bir çağrı merkezi müşteri temsilcisi.,O çok kötü bir çağrı merkezi müşteri temsilcisi.
43-4061,43,4061,"Eligibility Interviewers, Government Programs",Social Security Benefits Interviewer,3353.03,3,Sosyal Yardım ve inceleme Görevlisi,1,,O bir sosyal yardım ve inceleme görevlisi.,O çok iyi bir sosyal yardım ve inceleme görevlisi.,O iyi bir sosyal yardım ve inceleme görevlisi.,O kötü bir sosyal yardım ve inceleme görevlisi.,O çok kötü bir sosyal yardım ve inceleme görevlisi.
43-4071,43,4071,File Clerks,Document Clerk,4411.02,4,Dokümantasyon Ve Enformasyon Elemanı,1,,O bir dokümantasyon ve enformasyon elemanı.,O çok iyi bir dokümantasyon ve enformasyon elemanı.,O iyi bir dokümantasyon ve enformasyon elemanı.,O kötü bir dokümantasyon ve enformasyon elemanı.,O çok kötü bir dokümantasyon ve enformasyon elemanı.
43-4071,43,4071,File Clerks,File Keeper,4415.03,4,Dosyalama Memuru,1,,O bir dosyalama memuru.,O çok iyi bir dosyalama memuru.,O iyi bir dosyalama memuru.,O kötü bir dosyalama memuru.,O çok kötü bir dosyalama memuru.
43-4081,43,4081,"Hotel, Motel, and Resort Desk Clerks",Hotel Desk Clerk,4225.03,4,Otel Danışma Görevlisi,1,,O bir otel danışma görevlisi.,O çok iyi bir otel danışma görevlisi.,O iyi bir otel danışma görevlisi.,O kötü bir otel danışma görevlisi.,O çok kötü bir otel danışma görevlisi.
43-4081,43,4081,"Hotel, Motel, and Resort Desk Clerks",Hotel Front Desk Clerk,4224.02,4,Otel Ön Büro Şefi,2,,O bir otel ön büro şefi.,O çok iyi bir otel ön büro şefi.,O iyi bir otel ön büro şefi.,O kötü bir otel ön büro şefi.,O çok kötü bir otel ön büro şefi.
43-4111,43,4111,"Interviewers, Except Eligibility and Loan",Census Taker,4110.06,4,Nüfus Memuru,1,,O bir nüfus memuru.,O çok iyi bir nüfus memuru.,O iyi bir nüfus memuru.,O kötü bir nüfus memuru.,O çok kötü bir nüfus memuru.
43-4111,43,4111,"Interviewers, Except Eligibility and Loan",Survey Interviewer,4227.01,4,Anketör,1,,O bir anketör.,O çok iyi bir anketör.,O iyi bir anketör.,O kötü bir anketör.,O çok kötü bir anketör.
43-4121,43,4121,"Library Assistants, Clerical",Library Assistant,4411.01,4,Kütüphane Ve Bilgi Hizmetleri Yardımcı Elemanı,1,,O bir kütüphane ve bilgi hizmetleri yardımcı elemanı.,O çok iyi bir kütüphane ve bilgi hizmetleri yardımcı elemanı.,O iyi bir kütüphane ve bilgi hizmetleri yardımcı elemanı.,O kötü bir kütüphane ve bilgi hizmetleri yardımcı elemanı.,O çok kötü bir kütüphane ve bilgi hizmetleri yardımcı elemanı.
43-4141,43,4141,New Accounts Clerks,Banking Services Clerk,4211.09,4,Bankacılık Meslek Elemanı,1,,O bir bankacılık meslek elemanı.,O çok iyi bir bankacılık meslek elemanı.,O iyi bir bankacılık meslek elemanı.,O kötü bir bankacılık meslek elemanı.,O çok kötü bir bankacılık meslek elemanı.
43-4151,43,4151,Order Clerks,Subscription Clerk,4110.05,4,Abone işleri Memuru,1,,O bir abone işleri memuru.,O çok iyi bir abone işleri memuru.,O iyi bir abone işleri memuru.,O kötü bir abone işleri memuru.,O çok kötü bir abone işleri memuru.
43-4161,43,4161,"Human Resources Assistants, Except Payroll and Timekeeping",Employment Clerk,2423.02,2,istihdam Uzmanı,2,,O bir istihdam uzmanı.,O çok iyi bir istihdam uzmanı.,O iyi bir istihdam uzmanı.,O kötü bir istihdam uzmanı.,O çok kötü bir istihdam uzmanı.
43-4161,43,4161,"Human Resources Assistants, Except Payroll and Timekeeping",HR Clerk,4416.02,4,insan Kaynakları Yönetimi Meslek Elemanı,1,,O bir insan kaynakları yönetimi meslek elemanı.,O çok iyi bir insan kaynakları yönetimi meslek elemanı.,O iyi bir insan kaynakları yönetimi meslek elemanı.,O kötü bir insan kaynakları yönetimi meslek elemanı.,O çok kötü bir insan kaynakları yönetimi meslek elemanı.
43-4161,43,4161,"Human Resources Assistants, Except Payroll and Timekeeping",,1212.04,1,insan Kaynakları Müdür Yardımcısı,1,Y,O bir insan kaynakları müdür yardımcısı.,O çok iyi bir insan kaynakları müdür yardımcısı.,O iyi bir insan kaynakları müdür yardımcısı.,O kötü bir insan kaynakları müdür yardımcısı.,O çok kötü bir insan kaynakları müdür yardımcısı.
43-4171,43,4171,Receptionists and Information Clerks,Front Desk Receptionist,4224.03,4,Ön Büro Resepsiyon Görevlisi,1,,O bir ön büro resepsiyon görevlisi.,O çok iyi bir ön büro resepsiyon görevlisi.,O iyi bir ön büro resepsiyon görevlisi.,O kötü bir ön büro resepsiyon görevlisi.,O çok kötü bir ön büro resepsiyon görevlisi.
43-4181,43,4181,Reservation and Transportation Ticket Agents and Travel Clerks,Airline Reservationist,4221.06,4,Havayolu Rezervasyon Elemanı,1,,O bir havayolu rezervasyon elemanı.,O çok iyi bir havayolu rezervasyon elemanı.,O iyi bir havayolu rezervasyon elemanı.,O kötü bir havayolu rezervasyon elemanı.,O çok kötü bir havayolu rezervasyon elemanı.
43-4181,43,4181,Reservation and Transportation Ticket Agents and Travel Clerks,Airline Ticket Agent,5230.06,5,Uçak Bilet Satış Elemanı,1,,O bir uçak bilet satış elemanı.,O çok iyi bir uçak bilet satış elemanı.,O iyi bir uçak bilet satış elemanı.,O kötü bir uçak bilet satış elemanı.,O çok kötü bir uçak bilet satış elemanı.
43-4181,43,4181,Reservation and Transportation Ticket Agents and Travel Clerks,Hotel Reservationist,4224.01,4,Otel Rezervasyon Görevlisi,1,,O bir otel rezervasyon görevlisi.,O çok iyi bir otel rezervasyon görevlisi.,O iyi bir otel rezervasyon görevlisi.,O kötü bir otel rezervasyon görevlisi.,O çok kötü bir otel rezervasyon görevlisi.
43-4181,43,4181,Reservation and Transportation Ticket Agents and Travel Clerks,Reservation Agent,4224.04,4,Rezervasyon Elemanı,1,,O bir rezervasyon elemanı.,O çok iyi bir rezervasyon elemanı.,O iyi bir rezervasyon elemanı.,O kötü bir rezervasyon elemanı.,O çok kötü bir rezervasyon elemanı.
43-4181,43,4181,Reservation and Transportation Ticket Agents and Travel Clerks,Train Reservation Clerk,5230.05,5,Tren Bilet Satış Elemanı,1,,O bir tren bilet satış elemanı.,O çok iyi bir tren bilet satış elemanı.,O iyi bir tren bilet satış elemanı.,O kötü bir tren bilet satış elemanı.,O çok kötü bir tren bilet satış elemanı.
43-4181,43,4181,Reservation and Transportation Ticket Agents and Travel Clerks,Travel Clerk,4221.04,4,Turizm Ve Seyahat Hizmetleri Meslek Elemanı,2,,O bir turizm ve seyahat hizmetleri meslek elemanı.,O çok iyi bir turizm ve seyahat hizmetleri meslek elemanı.,O iyi bir turizm ve seyahat hizmetleri meslek elemanı.,O kötü bir turizm ve seyahat hizmetleri meslek elemanı.,O çok kötü bir turizm ve seyahat hizmetleri meslek elemanı.
43-5021,43,5021,Couriers and Messengers,Courier,9621.01,9,Kurye,1,,O bir kurye.,O çok iyi bir kurye.,O iyi bir kurye.,O kötü bir kurye.,O çok kötü bir kurye.
43-5032,43,5032,"Dispatchers, Except Police, Fire, and Ambulance",Airplane Dispatch Clerk,4323.13,4,Uçuş Dispeçer Uzmanı,1,,O bir uçuş dispeçer uzmanı.,O çok iyi bir uçuş dispeçer uzmanı.,O iyi bir uçuş dispeçer uzmanı.,O kötü bir uçuş dispeçer uzmanı.,O çok kötü bir uçuş dispeçer uzmanı.
43-5032,43,5032,"Dispatchers, Except Police, Fire, and Ambulance",Crew Dispatcher,4323.15,4,Ekip Tahsis Memuru,1,,O bir ekip tahsis memuru.,O çok iyi bir ekip tahsis memuru.,O iyi bir ekip tahsis memuru.,O kötü bir ekip tahsis memuru.,O çok kötü bir ekip tahsis memuru.
43-5032,43,5032,"Dispatchers, Except Police, Fire, and Ambulance",Train Dispatcher,4323.23,4,Tren Hareket Memuru,1,,O bir tren hareket memuru.,O çok iyi bir tren hareket memuru.,O iyi bir tren hareket memuru.,O kötü bir tren hareket memuru.,O çok kötü bir tren hareket memuru.
43-5041,43,5041,"Meter Readers, Utilities",Electric Meter Reader,9623.02,9,Elektrik Sayaç Okuma Elemanı,1,,O bir elektrik sayaç okuma elemanı.,O çok iyi bir elektrik sayaç okuma elemanı.,O iyi bir elektrik sayaç okuma elemanı.,O kötü bir elektrik sayaç okuma elemanı.,O çok kötü bir elektrik sayaç okuma elemanı.
43-5041,43,5041,"Meter Readers, Utilities",Gas Meter Reader,9623.03,9,Doğal Gaz Sayaç Okuma Elemanı,1,,O bir doğal gaz sayaç okuma elemanı.,O çok iyi bir doğal gaz sayaç okuma elemanı.,O iyi bir doğal gaz sayaç okuma elemanı.,O kötü bir doğal gaz sayaç okuma elemanı.,O çok kötü bir doğal gaz sayaç okuma elemanı.
43-5041,43,5041,"Meter Readers, Utilities",Water Meter Reader,9623.01,9,Su Sayaç Okuma Elemanı,1,,O bir su sayaç okuma elemanı.,O çok iyi bir su sayaç okuma elemanı.,O iyi bir su sayaç okuma elemanı.,O kötü bir su sayaç okuma elemanı.,O çok kötü bir su sayaç okuma elemanı.
43-5051,43,5051,Postal Service Clerks,Postal Service Clerk,3119.67,3,Posta Hizmetleri Meslek Elemanı,1,,O bir posta hizmetleri meslek elemanı.,O çok iyi bir posta hizmetleri meslek elemanı.,O iyi bir posta hizmetleri meslek elemanı.,O kötü bir posta hizmetleri meslek elemanı.,O çok kötü bir posta hizmetleri meslek elemanı.
43-5052,43,5052,Postal Service Mail Carriers,Postal Mail Carrier,4412.03,4,Posta Dağıtıcı,1,,O bir posta dağıtıcı.,O çok iyi bir posta dağıtıcı.,O iyi bir posta dağıtıcı.,O kötü bir posta dağıtıcı.,O çok kötü bir posta dağıtıcı.
43-5053,43,5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",,4412.05,4,Posta Ayırım Memuru,1,Y,O bir posta ayırım memuru.,O çok iyi bir posta ayırım memuru.,O iyi bir posta ayırım memuru.,O kötü bir posta ayırım memuru.,O çok kötü bir posta ayırım memuru.
43-5061,43,5061,"Production, Planning, and Expediting Clerks",Material Control Clerk,4322.01,4,Malzeme Planlama Elemanı,2,,O bir malzeme planlama elemanı.,O çok iyi bir malzeme planlama elemanı.,O iyi bir malzeme planlama elemanı.,O kötü bir malzeme planlama elemanı.,O çok kötü bir malzeme planlama elemanı.
43-5061,43,5061,"Production, Planning, and Expediting Clerks",Production Control Clerk,4322.03,4,Planlama Ve Kontrol işçisi ,1,,O bir planlama ve kontrol işçisi.,O çok iyi bir planlama ve kontrol işçisi.,O iyi bir planlama ve kontrol işçisi.,O kötü bir planlama ve kontrol işçisi.,O çok kötü bir planlama ve kontrol işçisi.
43-5061,43,5061,"Production, Planning, and Expediting Clerks",Production Scheduler,4322.02,4,Üretim Planlama Memuru,1,,O bir üretim planlama memuru.,O çok iyi bir üretim planlama memuru.,O iyi bir üretim planlama memuru.,O kötü bir üretim planlama memuru.,O çok kötü bir üretim planlama memuru.
43-5071,43,5071,"Shipping, Receiving, and Inventory Clerks",Inventory Control Clerk,4321.34,4,Stok Kontrol Uzmanı,1,,O bir stok kontrol uzmanı.,O çok iyi bir stok kontrol uzmanı.,O iyi bir stok kontrol uzmanı.,O kötü bir stok kontrol uzmanı.,O çok kötü bir stok kontrol uzmanı.
43-5071,43,5071,"Shipping, Receiving, and Inventory Clerks",Inventory Taker,4321.05,4,Stok Kayıt Büro Memuru,1,,O bir stok kayıt büro memuru.,O çok iyi bir stok kayıt büro memuru.,O iyi bir stok kayıt büro memuru.,O kötü bir stok kayıt büro memuru.,O çok kötü bir stok kayıt büro memuru.
43-5071,43,5071,"Shipping, Receiving, and Inventory Clerks",,4323.52,4,Sevkiyat Görevlisi,1,Y,O bir sevkiyat görevlisi.,O çok iyi bir sevkiyat görevlisi.,O iyi bir sevkiyat görevlisi.,O kötü bir sevkiyat görevlisi.,O çok kötü bir sevkiyat görevlisi.
43-5071,43,5071,"Shipping, Receiving, and Inventory Clerks",Warehouse Clerk,9333.15,9,Depo Görevlisi,1,,O bir depo görevlisi.,O çok iyi bir depo görevlisi.,O iyi bir depo görevlisi.,O kötü bir depo görevlisi.,O çok kötü bir depo görevlisi.
43-5111,43,5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",,4321.03,4,Kantarcı,1,Y,O bir kantarcı.,O çok iyi bir kantarcı.,O iyi bir kantarcı.,O kötü bir kantarcı.,O çok kötü bir kantarcı.
