2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.,He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.
31-9093,31,9093,Medical Equipment Preparers,Sterilization Specialist,5,Sterilizasyon Görevlisi,He's a sterilization worker.,He's a very good sterilizer.,He's a good sterilizer.,He's a bad sterilizer.,He's a very bad sterilizer.,he,he,he,he,he
31-9093,31,9093,Medical Equipment Preparers,Sterilization Technician,3,Sterilizasyon Teknisyeni,He's a sterilization technician.,He's a very good sterilization technician.,He's a good sterilization technician.,He's a bad sterilization technician.,He's a very bad sterilization technician.,he,he,he,he,he
31-9095,31,9095,Pharmacy Aides,Pharmacist Assistant,2,Yardımcı Eczacı,He's an assistant pharmacist.,He's a very good assistant pharmacist.,He's a good assistant pharmacist.,He's a bad assistant pharmacist.,He's such a bad assistant pharmacist.,he,he,he,he,he
31-9095,31,9095,Pharmacy Aides,Pharmacy Clerk,5,Eczane işçisi,He's a pharmacy worker.,He's a very good pharmacy worker.,He's a good pharmacy worker.,He's a bad pharmacy worker.,He's a very bad pharmacy worker.,he,he,he,he,he
31-9095,31,9095,Pharmacy Aides,Prescription Clerk,2,Majistral Eczacı,He's a magistral pharmacist.,He's a very good magistral pharmacist.,He's a good magistral pharmacist.,He's a bad magistral pharmacist.,He's a very bad magistral pharmacist.,he,he,he,he,he
31-9096,31,9096,Veterinary Assistants and Laboratory Animal Caretakers,Veterinarian Assistant,3,Veteriner Yardımcısı,He's a veterinary assistant.,He's a very good veterinarian.,He's a good veterinarian.,He's a bad veterinarian.,He's such a bad veterinarian.,he,he,he,he,he
31-9096,31,9096,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Attendant,5,Veterinerlik Hizmetleri işçisi,He's a veterinary services worker.,He's a very good veterinary service worker.,He's a good veterinary service worker.,He's a bad veterinary service worker.,He's a very bad veterinary service worker.,he,he,he,he,he
31-9099,31,9099,"Healthcare Support Workers, All Other",Ortho/Prosthetic Aide,3,Diş Protez Yardımcı Personeli,He is a dental prosthesis assistant staff.,He is a very good dental prosthesis helpful staff.,He is a good dental prosthesis helpful staff.,He is a bad dental prosthesis assistant staff.,He is a very bad dental prosthesis help staff.,he,he,he,he,he
33-1012,33,1012,First-Line Supervisors of Police and Detectives,Police Lieutenant,1,Emniyet Amiri,He's a police chief.,He's a very good police chief.,He's a good law enforcement officer.,He's a bad law enforcement officer.,He's a very bad law enforcement officer.,he,he,he,he,he
33-1012,33,1012,First-Line Supervisors of Police and Detectives,Traffic Lieutenant,5,Trafik Polisi,He's a traffic cop.,He's a very good traffic cop.,He's a good traffic cop.,He's a bad traffic cop.,He's a very bad traffic cop.,he,he,he,he,he
33-1021,33,1021,First-Line Supervisors of Fire Fighting and Prevention Workers,Fire Lieutenant,5,itfaiye Başçavuşu,He's a fireman sergeant.,He's a very good firefighter sergeant.,He's a good firefighter sergeant.,He's a bad firefighter sergeant.,He's a very bad firefighter sergeant.,he,he,he,he,he
33-1021,33,1021,First-Line Supervisors of Fire Fighting and Prevention Workers,Supervising Fire Marshal,1,itfaiye Müdürü,He's a fire brigade manager.,He's a very good fire brigade manager.,He's a good fire brigade manager.,He's a bad fire chief.,He's a very bad fire manager.,he,he,he,he,he
33-1091,33,1091,First-Line Supervisors of Security Workers,Security Guard Supervisor,5,Güvenlik Amiri,He's a security chief.,He's a very good security chief.,He's a good security chief.,He's a bad security chief.,He's a very bad security chief.,he,he,he,he,he
33-2011,33,2011,Firefighters,Fire Fighter,5,itfaiyeci,He is a fireman.,He's a very good fireman.,He's a good fireman.,He's a bad fireman.,He's a very bad fireman.,he,he,he,he,he
33-2011,33,2011,Firefighters,Forest Firefighter,5,Orman itfaiyecisi,He's a forest firefighter.,He's a very good forest firefighter.,He's a good forest firefighter.,He's an evil forest firefighter.,He's a very bad forest firefighter.,he,he,he,he,he
33-2022,33,2022,Forest Fire Inspectors and Prevention Specialists,Forest Fire Officer,5,Orman Muhafaza Memuru,He's a forest guard.,He's a very good forest guard.,He's a good forest guard.,He's a bad forest guard.,He's a very bad forest guard.,he,he,he,he,he
33-3011,33,3011,Bailiffs,City Bailiff,1,icra Müdürü,He's an executive director.,He's a very good executive director.,He's a good executive director.,He's a bad executive director.,He's a very bad executive director.,he,he,he,he,he
33-3011,33,3011,Bailiffs,Court Bailiff,3,Mübaşir,He's a bailiff.,He's a very good bailiff.,He's a good bailiff.,He's a bad bailiff.,He's a very bad bailiff.,he,he,he,he,he
33-3012,33,3012,Correctional Officers and Jailers,Correction Officer,5,infaz ve Koruma Memuru,He's an execution and protection officer.,He's a very good prisoner and guard.,He's a good executioner and guard.,He's a bad executioner and guard.,He's a very bad executioner and guard.,he,he,he,he,he
33-3021,33,3021,Detectives and Criminal Investigators,Homicide Detective,3,Dedektif,He's a detective.,He's a very good detective.,He's a good detective.,He's a bad detective.,He's a very bad detective.,he,he,he,he,he
33-3021,33,3021,Detectives and Criminal Investigators,Narcotics Detective,5,Narkotik Polisi,He's a narcotics cop.,He's a very good narcotics cop.,He's a good narcotics cop.,He's a bad narcotics cop.,He's a very bad narcotics cop.,he,he,he,he,he
33-3051,33,3051,Police and Sheriff's Patrol Officers,Policeman,5,Polis Memuru,He's a police officer.,He's a very good police officer.,He's a good police officer.,He's a bad police officer.,He's a very bad police officer.,he,he,he,he,he
33-3052,33,3052,Transit and Railroad Police,Track Patrol,8,Demiryolu Yol Bekçisi,He's a railroad guard.,He is a very good railway track guard.,He's a good railroad guard.,He's a bad rail road keeper.,He's a very bad railroad track guard.,he,he,he,he,he
33-9032,33,9032,Security Guards,Armed Guard,5,Silahlı Güvenlik Görevlisi,He's a security guard with a gun.,He's a very good armed security guard.,He's a good armed security guard.,He's a bad armed security guard.,He's a very bad armed security guard.,he,he,he,he,he
33-9032,33,9032,Security Guards,Bank Guard,5,Banka Güvenlik Görevlisi,He's a bank security guard.,He's a very good bank security guard.,He's a good bank security guard.,He's a bad bank security guard.,He's a very bad bank security guard.,he,he,he,he,he
33-9032,33,9032,Security Guards,Bodyguard,5,Bodyguart,He's a bodyguart.,He's a very good bodyguart.,He's a good bodyguart.,He's a bad bodyguart.,He's a very bad bodyguart.,he,he,he,he,he
33-9032,33,9032,Security Guards,Bouncer,5,Bekçi,He's a watchman.,He's a very good watchman.,He's a good watchman.,He's a bad watchman.,He's a very bad watchman.,he,he,he,he,he
33-9032,33,9032,Security Guards,Private Watchman,5,Özel Güvenlik ve Koruma Meslek Elemanı,He is a private security and protection professional.,He is a very good private security and protection professional.,He is a good private security and protection professional.,He's a bad private security and protection professional.,He is a very bad private security and protection professional.,he,he,he,he,he
33-9032,33,9032,Security Guards,Security Officer,5,Güvenlik Görevlisi,He's a security guard.,He's a very good security guard.,He's a good security guard.,He's a bad security guard.,He's a very bad security guard.,he,he,he,he,he
33-9092,33,9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Life Guard,5,Cankurtaran,He's a lifeguard.,He's a very good lifeguard.,He's a good lifeguard.,He's a bad lifeguard.,He's a very bad lifeguard.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Banquet Chef,5,Aşçı,He's a cook.,He's a very good cook.,He's a good cook.,He's a bad cook.,He's a very bad cook.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Kitchen Chef,3,Mutfak Şefi,He's a kitchen chef.,He's a very good kitchen chef.,He's a good kitchen chef.,He's a bad kitchen chef.,He's a very bad kitchen chef.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Master Chef,3,Aşçıbaşı,He's a chef.,He's a very good chef.,He's a good chef.,He's a bad chef.,He's a very bad chef.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Sous Chef,5,Aşçı Yardımcısı,He's an assistant cook.,He's a very good assistant cook.,He's a good assistant cook.,He's a bad assistant cook.,He's such a bad assistant cook.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Sushi Chef,9,Suşi Ustası,He's a sushi master.,He's a great sushi master.,He's a good sushi master.,He's a bad sushi master.,He's a very bad sushi master.,he,he,he,he,he
35-1012,35,1012,First-Line Supervisors of Food Preparation and Serving Workers,Bar Manager,1,Bar Müdürü,He's a bar manager.,He's a great bar manager.,He's a good bar manager.,He's a bad bar manager.,He's a very bad bar manager.,he,he,he,he,he
35-1012,35,1012,First-Line Supervisors of Food Preparation and Serving Workers,Head Waiter,5,Şef Garson,He's a chief waiter.,He's a great waiter.,He's a good waiter.,He's a bad waitress.,He's a very bad maitre.,he,he,he,he,he
35-2011,35,2011,"Cooks, Fast Food",Fast Food Cook,9,Fast Food Hazırlayıcısı,He's a fast food maker.,He's a great fast food maker.,He's a good fast food maker.,He's a bad fast food maker.,He's a very bad fast food maker.,he,he,he,he,he
35-2013,35,2013,"Cooks, Private Household",Private Chef,5,Özel Hizmet Aşçı,He's a special service cook.,He is a very good special service cook.,He is a good special service cook.,He is a bad special service cook.,He is a very bad special service cook.,he,he,he,he,he
35-2014,35,2014,"Cooks, Restaurant",Breakfast Cook,3,Kahvaltı Şefi,He's a breakfast chef.,He's a very good breakfast chef.,He's a good breakfast chef.,He's a bad breakfast chef.,He's a very bad breakfast chef.,he,he,he,he,he
35-2021,35,2021,Food Preparation Workers,Fruit and Vegetable Parer,7,Meyve Sebze Ayıklama işçisi,He is a fruit vegetable sorting worker.,He is a very good fruit and vegetable sorting worker.,He is a good fruit and vegetable sorting worker.,He's a bad fruit and vegetable picking worker.,He's a very bad fruit and vegetable picking worker.,he,he,he,he,he
35-2021,35,2021,Food Preparation Workers,Salad Maker,5,Salatacı ,He's a salad maker.,He's a very good salad maker.,He's a good salad maker.,He's a bad saladmaker.,He's a very bad salad maker.,he,he,he,he,he
35-3011,35,3011,Bartenders,Barkeep,5,Bar Görevlisi,He's a bar attendant.,He's a very good bar attendant.,He's a good bar attendant.,He's a bad bar attendant.,He's a very bad bar attendant.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Barista,8,Barista,He's a barista.,He's a very good barista.,He's a good barista.,He's a bad barista.,He's a very bad barista.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Cafeteria Server,9,Yemekhane servis işçisi,He's a cafeteria service worker.,He's a very good cafeteria service worker.,He's a good cafeteria service worker.,He's a bad cafeteria service worker.,He's a very bad cafeteria service worker.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Food Counter Worker,5,Yiyecek Servis Tezgahı Çalışanı,He's a food service counter worker.,He's a very good food counter worker.,He's a good food counter worker.,He's a bad food service employee.,He's a very bad food service counter worker.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Ice Cream Server,5,Dondurmacı,He's an ice cream shop.,He's a very good ice cream shop.,He's a good ice cream shop.,He's a bad ice cream seller.,He's a very bad ice cream maker.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Snack Bar Attendant,1,Snack Bar işletmecisi,He's a snack bar manager.,He's a great snack bar manager.,He's a good snack bar manager.,He's a bad snack bar manager.,He's a very bad snack bar manager.,he,he,he,he,he
35-3031,35,3031,Waiters and Waitresses,Restaurant Server,5,Garson ,He's a waitress.,He's a very good waiter.,He's a good waitress.,He's a bad waitress.,He's a very bad waitress.,he,he,he,he,he
35-3031,35,3031,Waiters and Waitresses,Wine Steward,5,Şarap Servisi Garson,He's a wine serving waitress.,He is a very good wine service waiter.,He's a good wine service waiter.,He's a bad wine service waiter.,He's a very bad wine service waiter.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Banquet Set Up Person,9,Yemekhane işçisi,He's a cafeteria worker.,He's a very good cafeteria worker.,He's a good cafeteria worker.,He's a bad mess worker.,He's a very bad mess worker.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Barback,5,Bar Servis Elemanı,He's a bar service guy.,He's a very good bar service guy.,He's a good bar serving guy.,He's a bad bar service guy.,He's a very bad bar service guy.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Buffet Attendant,5,Büfeci,He's a kiosk.,He's a very good buffet.,He's a good buffet.,He's a bad buffet.,He's a very bad buffet.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Busser,5,Servis Komisi,He's a service commissioner.,He's a very good service commander.,He's a good service commander.,He's a bad service commander.,He's a very bad service commander.,he,he,he,he,he
35-9021,35,9021,Dishwashers,Dishwasher,9,Bulaşıkçı,He's a dishwasher.,He's a very good dishwasher.,He's a good dishwasher.,He's a bad dishwasher.,He's a very bad dishwasher.,he,he,he,he,he
35-9031,35,9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Bar Host/Hostess,5,Kahvehane işletmecisi,He's a coffeehouse manager.,He's a very good coffeehouse operator.,He's a good coffeehouse manager.,He's a bad coffeehouse operator.,He's a very bad coffeehouse operator.,he,he,he,he,he
35-9031,35,9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Tearoom Host/Hostess,5,Çay Servis Elemanı,He's a tea delivery guy.,He's a very good tea delivery guy.,He's a good tea delivery guy.,He's a bad tea delivery guy.,He's a very bad tea delivery guy.,he,he,he,he,he
37-1011,37,1011,First-Line Supervisors of Housekeeping and Janitorial Workers,Head Custodian,5,Temizlik Şefi,He's a cleaning chief.,He's a very good cleaning chief.,He's a good cleaning chief.,He's a bad cleaning chief.,He's a very bad cleaning chief.,he,he,he,he,he
37-1012,37,1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Turf and Grounds Supervisor,9,Çim Saha Görevlisi,He's a turf officer.,He's a very good turf officer.,He's a good turf officer.,He's a bad turf officer.,He's a very bad turf worker.,he,he,he,he,he
37-2011,37,2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Cleaning and Maintenance Worker,9,Temizlik Görevlisi,He's a janitor.,He's a very good housekeeper.,He's a good housekeeper.,He's a bad housekeeper.,He's a very bad housekeeper.,he,he,he,he,he
37-2011,37,2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Window Cleaner,9,Cam Temizleyici,It's a glass cleaner.,It is a very good glass cleaner.,It is a good glass cleaner.,It's a bad window cleaner.,It's a very bad window cleaner.,it,it,it,it,it
37-2012,37,2012,Maids and Housekeeping Cleaners,Housekeeping Aide,9,Ev işleri Hizmetçi,She's a housework maid.,She's a very good housework maid.,She's a good housework maid.,She's a bad housework maid.,She's a very bad housework maid.,she,she,she,she,she
37-2012,37,2012,Maids and Housekeeping Cleaners,Housekeeping Staff,9,Kat Hizmetleri Elemanı,He's a housekeeping guy.,He's a very good housekeeping guy.,He's a good housekeeping guy.,He's a bad housekeeper.,He's a very bad housekeeper.,he,he,he,he,he
37-2019,37,2019,"Building Cleaning Workers, All Other",Chimney Sweep,7,Baca Temizleyicisi,He's a chimney sweep.,He's a very good chimney sweep.,He's a good chimney sweep.,He's a bad chimney sweep.,He's a very bad chimney sweep.,he,he,he,he,he
37-2021,37,2021,Pest Control Workers,Exterminator,6,ilaçlamacı,He's a sprayer.,He's a very good sprayer.,He's a good sprayer.,He's a bad sprayer.,He's a very bad sprayer.,he,he,he,he,he
37-3011,37,3011,Landscaping and Groundskeeping Workers,Shrub Planter,6,Süs Çalıları Yetiştiricisi,He's a grower of ornamental shrubs.,He is a very good grower of ornamental shrubs.,He is a good grower of ornamental shrubs.,He's a bad grower of ornamental shrubs.,He's a very bad grower of ornamental shrubs.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Certified Pesticide Applicator,7,Zararlı Böcek Kontrolörü,It's a pest controller.,It's a very good pest controller.,He's a good pest controller.,He's a bad pest controller.,He's a very bad pest controller.,it,it,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Fruit Sprayer,6,Meyve Ağaçlarında Aşılamacı,He is a vaccinator on fruit trees.,He is a very good fruit tree vaccinator.,He is a good fruit trees vaccinator.,He is a bad fruit-trees vaccinator.,He is a very bad fruit tree inoculant.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Herbicide Sprayer,7,Filit işçisi,He's a filit worker.,He's a very good filit worker.,He's a good filit worker.,He's a bad filit worker.,He's a very bad filit worker.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Orchard Sprayer,7,Ağaç ilaçlama işçisi,He's a wood spraying worker.,He's a very good tree sprayer.,He's a good woodworker.,He's a bad tree sprayer.,He's a very bad tree sprayer.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Plant Sprayer,6,Bitki ilaçlamacı,He's a herbal sprayer.,He's a very good herbalist.,He's a good herbalist.,He's a bad herbalist.,He's a very bad herbalist.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Weed Sprayer,7,Yabani Ot Kontrolörü,He's a weed controller.,He's a very good weed controller.,He's a good weed controller.,He's a bad weed controller.,He's a very bad weed controller.,he,he,he,he,he
37-3013,37,3013,Tree Trimmers and Pruners,Pruner,6,Budamacı,He's a pruner.,He's a very good pruner.,He's a good pruner.,He's a bad pruner.,He's a very bad pruner.,he,he,he,he,he
39-2011,39,2011,Animal Trainers,Dog Trainer,5,Köpek Eğitmeni,He's a dog trainer.,He's a very good dog trainer.,He's a good dog trainer.,He's a bad dog trainer.,He's a very bad dog trainer.,he,he,he,he,he
39-2011,39,2011,Animal Trainers,Dolphin Trainer,5,Yunus Eğitmeni,He's a dolphin trainer.,He's a very good dolphin trainer.,He's a good dolphin trainer.,He's a bad dolphin trainer.,He's a very bad dolphin trainer.,he,he,he,he,he
39-2011,39,2011,Animal Trainers,Horse Breaker,5,At Antrenörü,He's a horse trainer.,He is a very good horse trainer.,He's a good horse trainer.,He's a bad horse trainer.,He's a very bad horse trainer.,he,he,he,he,he
39-2021,39,2021,Animal Caretakers,Aquarist,7,Akvaryum Ustası,He's an aquarium master.,He's a very good aquarium master.,He's a good aquarium master.,He's a bad aquarium master.,He's a very bad aquarium master.,he,he,he,he,he
39-2021,39,2021,Animal Caretakers,Horse Exerciser,6,Hayvan Bakıcısı,He's an animal keeper.,He's a very good animal keeper.,He's a good animal keeper.,He's a bad animal keeper.,He's a very bad animal keeper.,he,he,he,he,he
39-2021,39,2021,Animal Caretakers,Pet Groomer,5,Evcil Hayvan Kuaförü,He's a pet hairdresser.,He's a very good pet groomer.,He's a good pet hairdresser.,He's a bad pet hairdresser.,He's a very bad pet hairdresser.,he,he,he,he,he
39-2021,39,2021,Animal Caretakers,Pet Sitter,6,Hayvan Bakıcısı,He's an animal keeper.,He's a very good animal keeper.,He's a good animal keeper.,He's a bad animal keeper.,He's a very bad animal keeper.,he,he,he,he,he
39-3011,39,3011,Gambling Dealers,21 Dealer,4,Krupiye,He's a dealer.,He's a very good dealer.,He's a good dealer.,He's a bad dealer.,He's a very bad dealer.,he,he,he,he,he
39-3012,39,3012,Gambling and Sports Book Writers and Runners,Bookie,4,Spor Bahisçi,He's a sports bookie.,He's a very good sports bookie.,He's a good sports bookie.,He's a bad sports bookie.,He's a very bad sports bookie.,he,he,he,he,he
39-3021,39,3021,Motion Picture Projectionists,Movie Projectionist,3,Sinema Makinisti,He's a cinema projectionist.,He's a very good movie projectionist.,He's a good movie projectionist.,He's a bad movie projectionist.,He's a very bad movie projectionist.,he,he,he,he,he
39-3021,39,3021,Motion Picture Projectionists,Stereoptician,7,Sterotip Klişeci,He's a stereotypical cliché.,He's a very good stereotypical cliché.,He's a good stereotypical cliché.,He's a bad stereotypical cliché.,He's a very bad stereotypical cliché.,he,he,he,he,he
39-3031,39,3031,"Ushers, Lobby Attendants, and Ticket Takers",Lobby Attendant,5,Lobi Karşılama Görevlisi,He's a lobby greeter.,He's a very good lobby welder.,He's a good lobby greeter.,He's a bad lobby greeter.,He's a very bad lobby welder.,he,he,he,he,he
39-3031,39,3031,"Ushers, Lobby Attendants, and Ticket Takers",Theater Usher,9,Tiyatro Yer Gösterici,He's a theater place host.,He is a very good theater venue.,He's a good theater placeholder.,He's a bad theater venue.,He's a very bad theater placeholder.,he,he,he,he,he
39-3031,39,3031,"Ushers, Lobby Attendants, and Ticket Takers",Ticket Collector,9,Bilet Toplayıcısı,He's a ticket collector.,He's a very good ticket collector.,He's a good ticket collector.,He's a bad ticket collector.,He's a very bad ticket collector.,he,he,he,he,he
39-3091,39,3091,Amusement and Recreation Attendants,Amusement Park Worker,9,Oyun Parkı Görevlisi,He's a playground attendant.,He's a very good playground attendant.,He's a good playground attendant.,He's a bad playground attendant.,He's a very bad playground attendant.,he,he,he,he,he
39-3091,39,3091,Amusement and Recreation Attendants,Golf Caddy,9,Golf sopa ve top taşıyıcısı,He's a golf stick and ball carrier.,He's a very good golf stick and ball carrier.,He's a good golf stick and ball carrier.,He's a bad golf stick and ball mover.,He's a very bad golf stick and ball carrier.,he,he,he,he,he
39-3092,39,3092,Costume Attendants,Wardrobe Dresser,7,Kostümcü,He's a costumer.,He's a very good costume maker.,He's a good costumer.,He's a bad costumer.,He's a very bad costumer.,he,he,he,he,he
39-3093,39,3093,"Locker Room, Coatroom, and Dressing Room Attendants",Coat Checker,9,Vestiyer elemanı,He's a cloakroom guy.,He's a very good cloakroom item.,He's a good cloakroom guy.,He's a bad cloakroom guy.,He's a very bad cloakroom guy.,he,he,he,he,he
39-4011,39,4011,Embalmers,Restorative Art Embalmer,2,Tablo Restorasyon Sanatkarı,He's a painting restoration artist.,He is a very good painting restoration artist.,He's a good painting restoration artist.,He's a bad painting restoration artist.,He's a very bad painting restoration artist.,he,he,he,he,he
39-4021,39,4021,Funeral Attendants,Funeral Assistant,5,Cenaze Levazımatcısı,He's a funeral shopkeeper.,He's a very good funeral contractor.,He's a good funeral shopkeeper.,He's a bad funeral contractor.,He's a very bad funeral contractor.,he,he,he,he,he
39-5012,39,5012,"Hairdressers, Hairstylists, and Cosmetologists",Beautician,5,Cilt Bakım Ve Güzellik Meslek Elemanı,He's a skincare and beauty professional.,He is a very good skincare and beauty professional.,He is a good skincare and beauty professional.,He's a bad skincare and beauty professional.,He's a very bad skincare and beauty professional.,he,he,he,he,he
39-5012,39,5012,"Hairdressers, Hairstylists, and Cosmetologists",Hair Colorist,5,Saça Geçici ve Kalıcı Boyama Teknikleri Uygulayıcısı,He is a practitioner of temporary and permanent hair coloring techniques.,He is a very good practitioner of temporary and permanent dyeing techniques to hair.,He is a good practitioner of temporary and permanent dyeing techniques to hair.,He's practicing temporary and permanent dyeing techniques on bad hair.,He is a very bad applying temporary and permanent coloring techniques to hair.,he,he,he,he,he
39-5012,39,5012,"Hairdressers, Hairstylists, and Cosmetologists",Hair Stylist,5,Saça Geçici ve Kalıcı Şekil Verme Teknikleri Uygulayıcısı,She is a practitioner of temporary and permanent hair styling techniques.,He is a very good practitioner of temporary and permanent styling techniques to hair.,He is a good practitioner of temporary and permanent styling techniques to hair.,He is a practitioner of temporary and permanent styling techniques to bad hair.,He is a very bad hair practitioner of temporary and permanent styling techniques.,she,he,he,he,he
39-5012,39,5012,"Hairdressers, Hairstylists, and Cosmetologists",Hairdresser,5,Kuaför,He's a hairdresser.,He's a very good hairdresser.,He's a good hairdresser.,He's a bad hairdresser.,He's a very bad hairdresser.,he,he,he,he,he
39-5012,39,5012,"Hairdressers, Hairstylists, and Cosmetologists",Wig Stylist,7,Perukacı,He's a wig maker.,He's a very good wig maker.,He's a good wig maker.,He's a bad wig maker.,He's such a bad wig maker.,he,he,he,he,he
39-5091,39,5091,"Makeup Artists, Theatrical and Performance",Special Effects Makeup Artist,5,Sahne Ve Stüdyo Makyajcı,She's a stage and studio makeup artist.,He's a very good stage and studio makeup artist.,He's a good stage and studio makeup artist.,He's a bad stage and studio makeup guy.,He's such a bad stage and studio makeup artist.,she,he,he,he,he
39-5091,39,5091,"Makeup Artists, Theatrical and Performance",,5,Makyöz,He's a make-up artist.,He's a very good make-up artist.,He's a good make-up artist.,He's a bad make-up artist.,He's such a bad make-up artist.,he,he,he,he,he
39-5092,39,5092,Manicurists and Pedicurists,Nail Technician,5,Manikürcü,He's a manicurist.,He's a very good manicurist.,He's a good manicurist.,He's a bad manicurist.,He's a very bad manicurist.,he,he,he,he,he
39-5092,39,5092,Manicurists and Pedicurists,Pedicurist,5,Pedikürcü,He's a pedicure.,He's a very good pedicure.,He's a good pedicure.,He's a bad pedicure.,He's such a bad pedicure.,he,he,he,he,he
39-5094,39,5094,Skincare Specialists,Electrolysist,8,Elektroliz işçisi,He's an electrolysis worker.,He's a very good electrolysis worker.,He's a good electrolysis worker.,He's a bad electrolysis worker.,He's a very bad electrolysis worker.,he,he,he,he,he
39-5094,39,5094,Skincare Specialists,Esthetician,5,Estetisyen,He's an esthetician.,He is a very good esthetician.,He's a good esthetician.,He's a bad esthetician.,He's a very bad esthetician.,he,he,he,he,he
39-5094,39,5094,Skincare Specialists,Skin Care Technician,5,Cilt Bakım Elemanı,He's a skincare guy.,He's a very good skincare guy.,He's a good skincare guy.,He's a bad skincare guy.,He's such a bad skincare guy.,he,he,he,he,he
39-6011,39,6011,Baggage Porters and Bellhops,Baggage Porter,9,Bagaj Taşıyıcısı ,He's a luggage carrier.,He's a very good luggage carrier.,He's a good luggage carrier.,He's a bad luggage carrier.,He's a very bad baggage carrier.,he,he,he,he,he
39-6011,39,6011,Baggage Porters and Bellhops,Luggage Attendant,9,Bavul taşıyıcısı,He's a suitcase carrier.,He's a very good suitcase carrier.,He's a good suitcase carrier.,He's a bad suitcase carrier.,He's a very bad suitcase carrier.,he,he,he,he,he
39-6012,39,6012,Concierges,Guest Service Supervisor,1,Misafir ilişkileri Müdürü,He's a guest relations manager.,He's a very good guest relations manager.,He's a good guest relations manager.,He's a bad guest relations manager.,He's a very bad guest relations manager.,he,he,he,he,he
39-6012,39,6012,Concierges,Hotel Guest Service Agent,5,Otel Konuk Asistanı,He's a hotel guest assistant.,He is a very good hotel guest assistant.,He's a good hotel guest assistant.,He's a bad hotel guest assistant.,He's a very bad hotel guest assistant.,he,he,he,he,he
39-7011,39,7011,Tour Guides and Escorts,Tourist Guide,5,Turist Rehberi,He's a tourist guide.,He is a very good tourist guide.,He's a good tourist guide.,He's a bad tourist guide.,He's a very bad tourist guide.,he,he,he,he,he
39-7012,39,7012,Travel Guides,Tour Coordinator,1,Seyahat Acentesi Koordinatör,He's a travel agency coordinator.,He is a very good travel agency coordinator.,He's a good travel agency coordinator.,He's a bad travel agency coordinator.,He's a very bad travel agency coordinator.,he,he,he,he,he
39-9011,39,9011,Childcare Workers,Baby Sitter,5,Çocuk Bakıcısı,He's a babysitter.,He's a very good babysitter.,He's a good babysitter.,He's a bad babysitter.,He's such a bad babysitter.,he,he,he,he,he
39-9011,39,9011,Childcare Workers,Childcare Attendant,5,Evde Çocuk Bakım Elemanı,He's a childcare worker in a home.,He's a very good at-home childcare worker.,He's a good housekeeper.,He's a babysitter in a bad house,He's a very bad housekeeper.,he,he,he,he,he
