,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,,1461,1455,1439,1487,1507
29-1123,29,1123,Physical Therapists,Sports Physical Therapist,2,Spor Fizyoterapist,He's a sports physiotherapist.,He's a very good sports physiotherapist.,He's a good sports physiotherapist.,He's a bad sport physical therapist.,He's a terrible sports physiotherapist.,he,he,he,he,he
29-1124,29,1124,Radiation Therapists,Radiation Therapy Technologist,3,Radyoterapi Sağlık Teknikeri,He's a radiotherapy health technician.,He's a very good radiotherapy health technician.,He's a good radiotherapy health technician.,He's a bad radiotherapy health technician.,He's a terrible radiotherapy technician.,he,he,he,he,he
29-1124,29,1124,Radiation Therapists,Registered Radiation Therapist,3,Radyoterapist,He's a radiotherapist.,He's a very good radiotherapist.,He's a good radiotherapist.,He's a bad radiotherapist.,He's a terrible radiotherapist.,he,he,he,he,he
29-1127,29,1127,Speech-Language Pathologists,Speech Therapist,2,Dil ve Konuşma Terapisti,He's a language and speech therapist.,He's a very good language and speech therapist.,He's a good language and speech therapist.,He's a bad language and speech therapist.,He's a terrible language and speech therapist.,he,he,he,he,he
29-1128,29,1128,Exercise Physiologists,Applied Exercise Physiologist,2,Fizyolog,He's a physiologist.,He's a very good physiologist.,He's a good physiologist.,He's a bad physiologist.,He's a terrible physiologist.,he,he,he,he,he
29-1129,29,1129,"Therapists, All Other",Hydrotherapist,3,Hidroterapi Teknikeri,She's a hydrotherapy technician.,He's a very good hydrotherapy technician.,He's a good hydrotherapy technician.,He's a bad hydrotherapy technician.,He's a terrible hydrotherapy technician.,she,he,he,he,he
29-1131,29,1131,Veterinarians,Animal Pathologist,2,Hayvan Pataloğu,It's an animal pathology.,That's a very good animal pathway.,That's a good animal pathway.,That's a bad animal pathway.,That's a terrible animal pathway.,it,that,that,that,that
29-1131,29,1131,Veterinarians,Doctor of Veterinary Medicine,2,Veteriner Hekim,He's a veterinarian.,He's a very good veterinarian.,He's a good veterinarian.,He's a bad veterinarian.,He's a terrible veterinarian.,he,he,he,he,he
29-1131,29,1131,Veterinarians,Public Health Veterinarian,2,Halk Sağlığı Veterineri,He's a public health veterinarian.,He's a very good public health vet.,He's a good public health veterinarian.,He's a bad public health vet.,He's a terrible public health veterinarian.,he,he,he,he,he
29-1141,29,1141,Registered Nurses,CCU Nurse,2,Yoğun Bakım Hemşiresi,She's an intensive care nurse.,She's a very good NICU nurse.,She's a good intensive care nurse.,She's a bad intensive care nurse.,He's a very bad intensive care nurse.,she,she,she,she,he
29-1141,29,1141,Registered Nurses,Clinical Nurse Specialist,2,Klinik Hemşire,She's a clinical nurse.,She's a very good clinical nurse.,She's a good clinical nurse.,She's a bad clinical nurse.,She's a terrible clinical nurse.,she,she,she,she,she
29-1141,29,1141,Registered Nurses,CNS,2,Hemşire,She's a nurse.,She's a very good nurse.,She is a good nurse.,She's a bad nurse.,She's a terrible nurse.,she,she,she,she,she
29-1141,29,1141,Registered Nurses,Community Health Nurse,2,Halk Sağlığı Hemşiresi,He's a public health nurse.,He's a very good public health nurse.,He's a good public health nurse.,He's a bad public health nurse.,He's a very bad public health nurse.,he,he,he,he,he
29-1141,29,1141,Registered Nurses,Emergency Room RN,2,Acil Servis Hemşiresi,She's an emergency nurse.,She's a very good emergency nurse.,She's a good emergency nurse.,He's a bad emergency nurse.,He's a terrible emergency nurse.,she,she,she,he,he
29-1141,29,1141,Registered Nurses,Pediatric Registered Nurse,2,Çocuk Hemşiresi,She's a child nurse.,She's a very good nursemaid.,She's a good child nurse.,She's a bad child nurse.,He's a terrible child nurse.,she,she,she,she,he
29-1171,29,1171,Nurse Practitioners,Surgical Nurse Practitioner,2,Ameliyathane Hemşire,She's an O.R.,She's a very good operating nurse.,She's a good O.R.,She's a bad O.R.,She's a terrible operating nurse.,she,she,she,she,she
29-1181,29,1181,Audiologists,Clinical Audiologist,2,Odyolog,He's a logger.,He's a very good odologist.,He's a good odologist.,He's a bad logger.,He's a terrible logger.,he,he,he,he,he
29-1211,29,1211,Anesthesiologists,Anaesthesiologist,2,Anesteziyoloji Ve Reanimasyon Uzmanı,He's an anesthesiologist and a reanimator.,He's a very good anesthesiologist and a reanimator.,He's a good anesthesiologist and a reanimator.,He's a bad anesthesiologist and a reanimator.,He's a terrible anesthesiologist and a reanimator.,he,he,he,he,he
29-1212,29,1212,Cardiologists,Electrophysiology Cardiologist,2,Kardiyoloji Uzmanı,He's a cardiologist.,He's a very good cardiologist.,He's a good cardiologist.,He's a bad cardiologist.,He's a terrible cardiologist.,he,he,he,he,he
29-1213,29,1213,Dermatologists,Procedural Dermatologist,2,Dermatoloji Uzmanı,He's a dermatologist.,He's a very good dermatologist.,He's a good dermatologist.,He's a bad dermatologist.,He's a terrible dermatologist.,he,he,he,he,he
29-1214,29,1214,Emergency Medicine Physicians,Emergency Medicine Specialist,2,Acil Tıp Uzmanı,He's an emergency medical expert.,He's a very good medical expert.,He's a good medical examiner.,He's a bad medical expert.,He's a terrible medical expert.,he,he,he,he,he
29-1215,29,1215,Family Medicine Physicians,Family Physician,2,Aile Hekimi,He's a family doctor.,He's a very good family doctor.,He's a good family doctor.,He's a bad family doctor.,He's a terrible family doctor.,he,he,he,he,he
29-1215,29,1215,Family Medicine Physicians,General Practitioner,2,Pratisyen,He's a practitioner.,He's a very good practitioner.,He's a good practitioner.,He's a bad practitioner.,He's a terrible practitioner.,he,he,he,he,he
29-1216,29,1216,General Internal Medicine Physicians,General Internal Medicine Doctor,2,iç Hastalıkları Uzmanı,He's an expert on internal diseases.,He's a very good expert on internal diseases.,He's a good expert on internal diseases.,She's a bad internal disease expert.,He's a terrible expert on internal diseases.,he,he,he,she,he
29-1217,29,1217,Neurologists,Neurologists,2,Nöroloji Uzmanı,He's a neuroscientist.,He's a very good neuroscientist.,He's a good neuroscientist.,He's a bad neuroscientist.,He's a terrible neuroscientist.,he,he,he,he,he
29-1218,29,1218,Obstetricians and Gynecologists,Obstetrician/Gynecologist,2,Kadın Hastalıkları Ve Doğum Uzmanı,She's a maternity specialist.,She's a very good obstetrician and a maternity specialist.,She's a good maternity specialist.,She's a bad obstetrician and an obstetrician.,She's a terrible obstetrician and a fertility specialist.,she,she,she,she,she
29-1221,29,1221,"Pediatricians, General",General Pediatrician,2,Çocuk Sağlığı ve Hastalıkları Uzmanı,He's a child health and disease expert.,He's a very good child health and disease expert.,He's a good child health and disease expert.,He's a bad child health and disease expert.,He's a terrible child health and disease expert.,he,he,he,he,he
29-1221,29,1221,"Pediatricians, General",Neonatologist,2,Neonatoloji,It's a neonatology.,That's a very good neonatology.,That's a good neonatology.,That's a bad neonatology.,That's a very bad neonatology.,it,that,that,that,that
29-1221,29,1221,"Pediatricians, General",Pediatric Cardiologist,2,Çocuk Kardiyoloji Uzmanı,He's a child cardiologist.,He's a very good child cardiologist.,He's a good child cardiologist.,He's a bad child cardiologist.,He's a terrible child cardiologist.,he,he,he,he,he
29-1222,29,1222,"Physicians, Pathologists",Clinical Pathologist,2,Tıbbi Patoloji Uzmanı,He's a medical pathologist.,He's a very good medical pathologist.,He's a good medical pathologist.,He's a bad medical pathologist.,He's a terrible medical pathologist.,he,he,he,he,he
29-1223,29,1223,Psychiatrists,Forensic Psychiatrist,2,Adli Tıp Uzmanı,He's a forensic expert.,He's a very good forensic expert.,He's a good forensic expert.,He's a bad forensic expert.,He's a terrible forensics expert.,he,he,he,he,he
29-1223,29,1223,Psychiatrists,Pediatric Psychiatrist,2,Çocuk Psikiyatri Uzmanı,He's a child psychiatrist.,He's a very good child psychiatrist.,He's a good child psychiatrist.,He's a bad boy psychiatrist.,He's a terrible child psychiatrist.,he,he,he,he,he
29-1223,29,1223,Psychiatrists,Staff Psychiatrist,2,Psikiyatri Uzmanı ,He's a psychiatrist.,He's a very good psychiatrist.,He's a good psychiatrist.,He's a bad psychiatrist.,He's a terrible psychiatrist.,he,he,he,he,he
29-1224,29,1224,Radiologists,Diagnostic Radiologist,2,Radyoloji Uzmanı,He's a radiologist.,He's a very good radiologist.,He's a good radiologist.,He's a bad radiologist.,He's a terrible radiologist.,he,he,he,he,he
29-1224,29,1224,Radiologists,Interventional Radiologist,2,Girişimsel Radyoloji Uzmanı,He's an entrepreneur radiology.,He's a very good entrepreneur radiology.,He's a good entrepreneurial radiologist.,He's a bad entrepreneur radiologist.,He's a terrible entrepreneur radiology expert.,he,he,he,he,he
29-1229,29,1229,"Physicians, All Other",Gastroenterologist,2,Gastroenteroloji Uzmanı,He's a gastroenterologist.,He's a very good gastroenterologist.,He's a good gastroenterologist.,He's a bad gastroenterologist.,He's a terrible gastroenterologist.,he,he,he,he,he
29-1229,29,1229,"Physicians, All Other",Nephrologist,2,Nefroloji Uzmanı,He's a nephrologist.,He's a very good nephrologist.,He's a good nephrologist.,He's a bad nephrologist.,He's a terrible nephrologist.,he,he,he,he,he
29-1229,29,1229,"Physicians, All Other",Oncologist,2,Medikal Onkoloji Uzmanı,He's a medical oncologist.,He's a very good medical oncologist.,He's a good medical oncologist.,He's a bad medical oncologist.,He's a terrible medical oncologist.,he,he,he,he,he
29-1229,29,1229,"Physicians, All Other",Pulmonologist,2,Göğüs Hastalıkları Uzmanı,He's a breast disease expert.,He's a very good breast disease expert.,He's a good breast disease expert.,He's a bad breast disease expert.,He's a terrible breast disease expert.,he,he,he,he,he
29-1229,29,1229,"Physicians, All Other",Rheumatologist,2,Romatoloji Uzmanı,He's a rheumatologist.,He's a very good romatologist.,He's a good romatologist.,He's a bad romatologist.,He's a terrible rheumatologist.,he,he,he,he,he
29-1242,29,1242,"Orthopedic Surgeons, Except Pediatric",Joint Preservationist,2,Ortopedi Ve Travmatoloji Uzmanı,He's an orthopedic and a traumatologist.,He's a very good orthopedic and a traumatologist.,He's a good orthopedic and a traumatologist.,He's a bad orthopedic and a traumatologist.,He's a terrible orthopedic and a traumatologist.,he,he,he,he,he
29-1242,29,1242,"Orthopedic Surgeons, Except Pediatric",Orthopedic Sports Medicine Physician,2,Spor Hekimi,He's a sports physician.,He's a very good sports physician.,He's a good sports physician.,He's a bad sports physician.,He's a terrible sports physician.,he,he,he,he,he
29-1243,29,1243,Pediatric Surgeons,Pediatric Neurosurgeon,2,Çocuk Cerrahisi Uzmanı,He's a pediatrician.,He's a very good pediatrician.,He's a good pediatrician.,He's a bad pediatrician.,He's a terrible pediatrician.,he,he,he,he,he
29-1243,29,1243,Pediatric Surgeons,Pediatric Vascular Surgeon,2,Çocuk Kalp Damar Cerrahisi Uzmanı,He's a child cardiovascular surgeon.,He's a very good child cardiovascular surgeon.,He's a good child cardiovascular surgeon.,"He's a bad kid, cardiovascular surgeon.",He's a terrible child cardiovascular surgeon.,he,he,he,he,he
29-1249,29,1249,"Surgeons, All Other",Cardiovascular Surgeon,2,Kalp ve Damar Cerrahisi Uzmanı,He's a cardiac and vascular surgeon.,He's a very good cardiac and vascular surgeon.,He's a good cardiac and vascular surgeon.,He's a bad cardiac and vascular surgeon.,He's a terrible cardiac and vascular surgeon.,he,he,he,he,he
29-1249,29,1249,"Surgeons, All Other",Neurosurgeon,2,Beyin Ve Sinir Cerrahisi Uzmanı,He's a neurosurgeon and a neurosurgeon.,He's a very good neurosurgeon.,He's a good brain and neurosurgeon specialist.,He's a bad brain and neurosurgeon specialist.,He's a terrible brain and neurosurgeon specialist.,he,he,he,he,he
29-1249,29,1249,"Surgeons, All Other",Otolaryngologist,2,Kulak Burun Boğaz Hastalıkları Uzmanı,He's an ear-nosed expert.,He's a very good ear-throat expert.,He's a good ear-throat expert.,He's a bad ear-throat expert.,He's a terrible ear-throat expert.,he,he,he,he,he
29-1249,29,1249,"Surgeons, All Other",Plastic Surgeon,2,"Plastik, Rekonstrüktif Ve Estetik Cerrahi Uzmanı","He's a plastic, reconstructive and aesthetic surgeon.","He's a very good plastic, a reconstructive and plastic surgeon.","He's a good plastic, reconstructive and aesthetic surgeon.","He's a bad plastic, a recreational and aesthetic surgeon.","He's a terrible plastic, reconstructive and aesthetic surgeon.",he,he,he,he,he
29-1249,29,1249,"Surgeons, All Other",Thoracic Surgeon,2,Gögüs Cerrahisi Uzmanı,He's an expert in umbilical surgery.,He's a very good neurosurgeon.,He's a good neurosurgeon.,He's a bad chest surgeon.,He's a terrible neurosurgeon specialist.,he,he,he,he,he
29-1249,29,1249,"Surgeons, All Other",Urologist,2,Üroloji Uzmanı,He's a urologist.,He's a very good urologist.,He's a good urologist.,He's a bad urologist.,He's a terrible urologist.,he,he,he,he,he
29-1291,29,1291,Acupuncturists,Licensed Acupuncturist,2,Akupunktur Uzmanı,He's an acupuncturist.,He's a very good acupuncture specialist.,He's a good acupuncture specialist.,He's a bad acupuncture specialist.,He's a terrible acupuncture specialist.,he,he,he,he,he
29-1299,29,1299,"Healthcare Diagnosing or Treating Practitioners, All Other",Homeopathic Doctor,2,Homeopat,It's a homeopath.,It's a very good homeopath.,It's a good homeopath.,It's a bad homeopath.,He's a terrible homeopath.,it,it,it,it,he
29-1299,29,1299,"Healthcare Diagnosing or Treating Practitioners, All Other",Naturopath,2,Natüropat,He's a naturopath.,He's a very good naturopath.,He's a good naturopath.,He's a bad naturopath.,He's a terrible naturopath.,he,he,he,he,he
29-2011,29,2011,Medical and Clinical Laboratory Technologists,Biochemistry Technologist,2,Tıbbi Biyokimya Uzmanı,He's a medical biochemistry expert.,He's a very good medical biochemical specialist.,He's a good medical biochemistry expert.,He's a bad medical biochemistry expert.,He's a very bad medical biochemistry expert.,he,he,he,he,he
29-2011,29,2011,Medical and Clinical Laboratory Technologists,Blood Bank Laboratory Technologist,2,Kan Bankası Hemşiresi,He's a blood bank nurse.,He's a very good blood bank nurse.,He's a good blood bank nurse.,He's a bad blood bank nurse.,He's a terrible blood bank nurse.,he,he,he,he,he
29-2011,29,2011,Medical and Clinical Laboratory Technologists,Pathology Laboratory Technologist,3,Patoloji Laboratuvar Teknikleri Sağlık Teknikeri,He's a pathology lab technician.,He's a very good pathology laboratory techniques health technician.,He's a good pathology lab technician.,He's a bad pathology lab technician.,He's a terrible pathology lab technician.,he,he,he,he,he
29-2012,29,2012,Medical and Clinical Laboratory Technicians,Medical Laboratory Technician,3,Tıbbi Laboratuvar Teknisyeni,He's a medical lab technician.,He's a very good medical lab technician.,He's a good medical lab technician.,He's a bad medical lab technician.,He's a terrible medical lab technician.,he,he,he,he,he
29-2012,29,2012,Medical and Clinical Laboratory Technicians,Hematology Technician,2,Hematoloji Uzmanı,He's a hematologist.,He's a very good hematologist.,He's a good hematologist.,He's a bad hematologist.,He's a terrible hematologist.,he,he,he,he,he
29-2012,29,2012,Medical and Clinical Laboratory Technicians,Hemodialysis Technician,3,Hemodiyaliz Teknisyeni,He's a hemodialysis technician.,He's a very good hemodialysis technician.,He's a good hemodialysis technician.,He's a bad hemodialysis technician.,He's a terrible hemodialysis technician.,he,he,he,he,he
29-2012,29,2012,Medical and Clinical Laboratory Technicians,Laboratory Technician,3,Laboratuvar Teknikeri,He's a lab technician.,He's a very good laboratory technician.,He's a good lab technician.,He's a bad lab technician.,He's a terrible laboratory technician.,he,he,he,he,he
29-2012,29,2012,Medical and Clinical Laboratory Technicians,Pathology Technician,3,Patoloji Laboratuvar Teknikleri Sağlık Teknikeri,He's a pathology lab technician.,He's a very good pathology laboratory techniques health technician.,He's a good pathology lab technician.,He's a bad pathology lab technician.,He's a terrible pathology lab technician.,he,he,he,he,he
29-2031,29,2031,Cardiovascular Technologists and Technicians,EKG Technician,3,Elektrokardiyografi Teknisyeni,He's an electrocardiography technician.,He's a very good electrocardiography technician.,He's a good electrocardiography technician.,He's a bad electrocardiography technician.,He's a terrible electrocardiography technician.,he,he,he,he,he
29-2032,29,2032,Diagnostic Medical Sonographers,Echocardiography Technician,3,Ekokardiyografi Teknisyeni,He's an echocardiography technician.,He's a very good echocardiography technician.,He's a good echocardiography technician.,He's a bad ecocardiography technician.,He's a terrible echocardiography technician.,he,he,he,he,he
29-2033,29,2033,Nuclear Medicine Technologists,Nuclear Medical Technologist,3,Nükleer Tıp Teknikleri Sağlık Teknikeri,He's a nuclear medical technician.,He's a very good nuclear medicine technician.,He's a good nuclear medicine technician.,He's a bad nuclear medicine technician.,He's a terrible nuclear medicine technician.,he,he,he,he,he
29-2034,29,2034,Radiologic Technologists and Technicians,Radiologic Technician,3,Radyoloji Teknisyeni,He's a radiology technician.,He's a very good radiology technician.,He's a good radiology technician.,He's a bad radiology technician.,He's a terrible radiology technician.,he,he,he,he,he
29-2034,29,2034,Radiologic Technologists and Technicians,X-Ray Technician,3,Röntgen Teknisyeni,He's an X-ray technician.,He's a very good X-ray technician.,He's a good X-ray technician.,He's a bad X-ray technician.,He's a terrible X-ray technician.,he,he,he,he,he
29-2035,29,2035,Magnetic Resonance Imaging Technologists,Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist,3,Bilgisayarlı Tomografi Röntgen Teknisyeni,He's a CT scan x-ray technician with a computer.,He's a very good computer CT X-ray technician.,He's a good computer CT X-ray technician.,He's a bad CT scan x-ray technician.,He's a very bad computer CT X-ray technician.,he,he,he,he,he
29-2035,29,2035,Magnetic Resonance Imaging Technologists,MRI Technologist,3,Tıbbi Görüntüleme Sistemleri Teknisyeni,He's a medical imaging system technician.,He's a very good technician of medical imaging systems.,He's a good technician of medical imaging systems.,He's a bad medical imaging system technician.,He's a terrible technician of medical imaging systems.,he,he,he,he,he
29-2042,29,2042,Emergency Medical Technicians,EMT,3,Acil Tıp Teknisyeni,He's an emergency medical technician.,He's a very good emergency medical technician.,He's a good emergency medical technician.,He's a bad medical technician.,He's a terrible medical technician.,he,he,he,he,he
29-2043,29,2043,Paramedics,Paramedic,3,Paramedik,He's a paramedic.,He's a very good paramedic.,He's a good paramedic.,He's a bad paramedic.,He's a terrible paramedic.,he,he,he,he,he
29-2052,29,2052,Pharmacy Technicians,Pharmacist Technician,3,Eczane Hizmetleri Teknikeri,He's a pharmacy worker technician.,He's a very good pharmacy service technician.,He's a good pharmacy service technician.,He's a bad pharmacy service technician.,He's a terrible drug service technician.,he,he,he,he,he
29-2055,29,2055,Surgical Technologists,Certified Surgical Technologist,2,Cerrahi Teknikeri,He's a surgical technician.,He's a very good surgeon.,He's a good surgical technician.,He's a bad surgeon.,He's a terrible surgeon.,he,he,he,he,he
29-2055,29,2055,Surgical Technologists,Operating Room Technician,3,Ameliyathane Teknisyeni,He's an O.R.,He's a very good O.R. technician.,He's a good O.R. technician.,He's a bad operating technician.,He's a terrible O.R. technician.,he,he,he,he,he
29-2056,29,2056,Veterinary Technologists and Technicians,Certified Veterinary Technician,3,Veteriner Sağlık Teknisyeni,He's a veterinarian.,He's a very good veterinarian health technician.,He's a good veterinarian health technician.,He's a bad veterinarian health technician.,He's a terrible veterinarian health technician.,he,he,he,he,he
29-2056,29,2056,Veterinary Technologists and Technicians,Veterinary Laboratory Technician,3,Laborant Ve Veteriner Sağlık Teknikeri,He's a laboratory and a veterinary health technician.,He's a very good laboratory and veterinary health technician.,He's a good laboratory and a veterinary health technician.,He's a bad laboratory and a veterinary health technician.,He's a terrible laboratory and a veterinary health technician.,he,he,he,he,he
29-2072,29,2072,Medical Records Specialists,Health Information Coder,3,Klinik Kodlayıcı,He's a clinic encoder.,He's a very good clinical codec.,He's a good clinical codec.,He's a bad clinical encoder.,He's a terrible clinical encoder.,he,he,he,he,he
29-2072,29,2072,Medical Records Specialists,Health Records Technician,3,Tıbbi Kayıt Teknisyeni,He's a medical record technician.,He's a very good medical record technician.,He's a good medical record technician.,He's a bad medical record technician.,He's a terrible medical record technician.,he,he,he,he,he
29-2072,29,2072,Medical Records Specialists,Medical Bill Coder,3,Tıbbi Kayıt Elemanı,He's a medical record guy.,He's a very good medical record guy.,He's a good medical record guy.,He's a bad medical record guy.,He's a terrible medical record guy.,he,he,he,he,he
29-2081,29,2081,"Opticians, Dispensing",Optician,3,Gözlükçü,He's a goggler.,He's a very good spectator.,He's a good goggler.,He's a bad goggler.,He's a terrible goggler.,he,he,he,he,he
29-2091,29,2091,Orthotists and Prosthetists,Orthotist,2,Ortotist,He's an orthtist.,He's a very good orthtist.,He's a good orthtist.,He's a bad orthtist.,He's a very bad orthotist.,he,he,he,he,he
29-2091,29,2091,Orthotists and Prosthetists,Prosthetist,2,Prostetist,He's a prostetist.,He's a very good prostetist.,He's a good prostetist.,He's a bad pro.,He's a terrible prostetist.,he,he,he,he,he
29-2092,29,2092,Hearing Aid Specialists,Hearing Aid Fitter,7,işitme Cihazları Kalıp Ve Montaj Elemanı,He's a hearing aid master and an assembly guy.,"He's a very good hearing aid, stay and put guy.","He's a good hearing aid, stay and put guy.",He's a bad hearing aid stay and assemble guy.,"He's a terrible hearing aid, a stay-and-assemble guy.",he,he,he,he,he
29-2092,29,2092,Hearing Aid Specialists,Hearing Aid Technician,3,işitme Cihazları Uygulayıcı,She's a hearing aid practitioner.,She's a very good hearing aider.,She's a good hearing aider.,She's a bad hearing aid practitioner.,She's a terrible auditory applicator.,she,she,she,she,she
29-2099,29,2099,"Health Technologists and Technicians, All Other",Dialysis Technician,3,Diyaliz Sağlık Teknikeri,He's a dialysis health technician.,He's a very good dialysis health technician.,He's a good dialysis health technician.,He's a bad dialysis health technician.,He's a very bad dialysis health technician.,he,he,he,he,he
29-2099,29,2099,"Health Technologists and Technicians, All Other",Electroencephalogram (EEG) Technologist,3,Elektro Ensefalografi (E.e.g) Teknisyeni,He's an electro-encephalography technician.,He's a very good electro-encephalography technician.,He's a good electro-encephalography technician.,He's a bad electro-encephalography technician.,He's a terrible electro-encephalography technician.,he,he,he,he,he
29-2099,29,2099,"Health Technologists and Technicians, All Other",Health Technician,5,Sağlık Bakım Teknisyeni,He's a health care technician.,He's a very good health care technician.,He's a good health care technician.,He's a bad health care technician.,He's a terrible health care technician.,he,he,he,he,he
29-2099,29,2099,"Health Technologists and Technicians, All Other",Perfusionist,2,Perfüzyonist,He's a perfusionist.,He's a very good perfusist.,He's a good perfusist.,He's a bad perfusist.,He's a very bad perfusionist.,he,he,he,he,he
29-2099,29,2099,"Health Technologists and Technicians, All Other",Polysomnograph Tech,3,Polisomnografi Teknisyeni,He's a polynography technician.,He's a very good polynographic technician.,He's a good polynography technician.,He's a bad polynographic technician.,He's a terrible polynographic technician.,he,he,he,he,he
29-9021,29,9021,Health Information Technologists and Medical Registrars,Health Informatics Specialist,3,Sağlık Bilgi Elemanı,He's a health information guy.,He's a very good health information guy.,He's a good health information guy.,He's a bad health information guy.,He's a terrible health information guy.,he,he,he,he,he
29-9021,29,9021,Health Information Technologists and Medical Registrars,Health Information Systems Technician,3,Sağlık Bilgi Sistemleri Teknikeri,He's a health information systems technician.,He's a very good health information systems technician.,He's a good health information systems technician.,He's a bad health information systems technician.,He's a terrible health information systems technician.,he,he,he,he,he
29-9092,29,9092,Genetic Counselors,Certified Genetic Counselor,2,Genetik ve Biyoinformatik Uzmanı,He's a genetics and bioinformatics expert.,He's a very good geneticist and bioinformatics expert.,He's a good geneticist and bioinformatics expert.,He's a bad genetics and bioinformatics expert.,He's a terrible geneticist and bioinformatics expert.,he,he,he,he,he
29-9099,29,9099,"Healthcare Practitioners and Technical Workers, All Other",Healthcare Practitioner,2,Sağlık Memuru,He's a medical officer.,He's a very good health officer.,He's a good health officer.,He's a bad health officer.,He's a very bad health officer.,he,he,he,he,he
29-9099,29,9099,"Healthcare Practitioners and Technical Workers, All Other",Traditional Chinese Herbalist,2,Çin Bitkisel ilaç Uygulayıcısı,He's a Chinese herbal drug practitioner.,He's a very good Chinese herbal drug practitioner.,He's a good Chinese herbal drug practitioner.,He's a bad Chinese herbal medicine practitioner.,He's a terrible Chinese herbal drug practitioner.,he,he,he,he,he
31-1121,31,1121,Home Health Aides,Home Health Attendant,5,Evde Hasta Bakımı Sağlık Teknikeri,She's a sick-care technician in a house.,She's a very good home patient care technician.,She's a health technician in a good home.,She's a sick-care technician in a bad house.,She's a sick-care technician in a very bad house.,she,she,she,she,she
31-1122,31,1122,Personal Care Aides,Elderly Companion,5,Yaşlı Refakatçisi,He's an old chaperone.,He's a very good old chaperone.,He's a good old chaperone.,He's a bad old chaperone.,He's a terrible old chaperone.,he,he,he,he,he
31-1122,31,1122,Personal Care Aides,Personal Support Worker,5,Kişisel Yardımcı,He's a personal assistant.,He's a very good personal assistant.,That's a good personal assistant.,He's a bad personal assistant.,He's a very bad personal assistant.,he,he,that,he,he
31-1131,31,1131,Nursing Assistants,Hospital Attendant,5,Hastane Hizmetlisi,He's a hospital maid.,He's a very good hospital maid.,He's a good hospital maid.,He's a bad hospital maid.,He's a terrible hospital maid.,he,he,he,he,he
31-1131,31,1131,Nursing Assistants,Nursing Aide,3,Hemşire Yardımcısı,She's a nurse's assistant.,She's a very good nurse's assistant.,She is a good nurse's assistant.,She's a bad nurse's assistant.,She's a terrible nurse's assistant.,she,she,she,she,she
31-1132,31,1132,Orderlies,Hospital Orderly,5,Hastane Klinik Destek Elemanı,He's a hospital clinic support guy.,He's a very good hospital clinical support guy.,He's a good hospital clinical supplier.,He's a bad hospital clinical supplier.,He's a terrible hospital clinical support guy.,he,he,he,he,he
31-2021,31,2021,Physical Therapist Assistants,Physical Therapy Technician,3,Fizik Tedavi Teknikeri,He's a physiotherapist.,He's a very good physical therapy technician.,He's a good physical therapist.,He's a bad physical therapy technician.,He's a very bad physical therapy technician.,he,he,he,he,he
31-2021,31,2021,Physical Therapist Assistants,Physiotherapy Assistant,3,Fizyoterapist Yardımcısı,He's a physiotherapist assistant.,He's a very good assistant physiotherapist.,He's a good physiotherapist assistant.,He's a bad physiotherapist assistant.,He's a very bad physiotherapist assistant.,he,he,he,he,he
31-9011,31,9011,Massage Therapists,Licensed Massage Practitioner,5,Masaj Uygulayıcısı,He's a massage practitioner.,He's a very good massage practitioner.,He's a good massage practitioner.,He's a bad massage practitioner.,He's a terrible massage practitioner.,he,he,he,he,he
31-9011,31,9011,Massage Therapists,Licensed Massage Therapist,3,Masaj Terapisti,He's a massage therapist.,He's a very good massage therapist.,He's a good massage therapist.,He's a bad massage therapist.,He's a terrible massage therapist.,he,he,he,he,he
31-9091,31,9091,Dental Assistants,Certified Dental Assistant,3,Diş Hekimi Asistanı,He's a dentist assistant.,He's a very good dentist assistant.,He's a good dentist assistant.,He's a bad dentist assistant.,He's a terrible dentist assistant.,he,he,he,he,he
31-9092,31,9092,Medical Assistants,Autopsy Assistant,3,Otopsi Yardımcılığı Sağlık Teknikeri,He's an autopsy assistant health technician.,He's a very good assistant autopsy health technician.,He's a good assistant autopsy health technician.,He's a bad assistant autopsy health technician.,He's a very bad assistant autopsy health technician.,he,he,he,he,he
31-9092,31,9092,Medical Assistants,Certified Medical Assistant,2,Tıp Asistanı,He's a medical assistant.,He's a very good medical assistant.,He's a good medical assistant.,He's a bad medical assistant.,He's a terrible medical assistant.,he,he,he,he,he
31-9093,31,9093,Medical Equipment Preparers,Sterilization Specialist,5,Sterilizasyon Görevlisi,He's a sterilization agent.,He's a very good sterilization worker.,He's a good sterilization officer.,He's a bad sterilization worker.,He's a terrible sterilization worker.,he,he,he,he,he
31-9093,31,9093,Medical Equipment Preparers,Sterilization Technician,3,Sterilizasyon Teknisyeni,He's a sterilization technician.,He's a very good sterilization technician.,He's a good sterilization technician.,He's a bad sterilization technician.,He's a terrible sterilization technician.,he,he,he,he,he
31-9095,31,9095,Pharmacy Aides,Pharmacist Assistant,2,Yardımcı Eczacı,She's an assistant pharmacist.,He's a very good assistant pharmacist.,He's a good assistant pharmacist.,He's a bad assistant pharmacist.,He's a terrible assistant pharmacist.,she,he,he,he,he
