,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),Translation (AWS),,,,,,,,,
29-9099,29,9099,"Healthcare Practitioners and Technical Workers, All Other",Healthcare Practitioner,2,Sağlık Memuru,He's a medical officer.,He's a very good medical officer.,He's a good medical officer.,He's a bad medical officer.,He's a terrible medical officer.,he,he,he,he,he
29-9099,29,9099,"Healthcare Practitioners and Technical Workers, All Other",Traditional Chinese Herbalist,2,Çin Bitkisel ilaç Uygulayıcısı,He's a Chinese herbal medicine practitioner.,He's a very good Chinese herbal medicine practitioner.,He's a good Chinese herbal medicine practitioner.,He's a bad Chinese herbal medicine practitioner.,He's a very bad Chinese herbal medicine practitioner.,he,he,he,he,he
31-1121,31,1121,Home Health Aides,Home Health Attendant,5,Evde Hasta Bakımı Sağlık Teknikeri,He's a home patient care healthcare technician.,He is a very good home patient care health technician.,He is a good home patient care health technician.,He is a health technician who cares for a bad home patient.,He is a very bad home patient care health technician.,he,he,he,he,he
31-1122,31,1122,Personal Care Aides,Elderly Companion,5,Yaşlı Refakatçisi,He's an old companion.,He's a very good old companion.,He's a good old companion.,He's a bad old companion.,He's a terrible old companion.,he,he,he,he,he
31-1122,31,1122,Personal Care Aides,Personal Support Worker,5,Kişisel Yardımcı,He's a personal assistant.,He is a very good personal assistant.,He's a good personal helper.,He's a bad personal helper.,He's a very bad personal helper.,he,he,he,he,he
31-1131,31,1131,Nursing Assistants,Hospital Attendant,5,Hastane Hizmetlisi,He's a hospital servant.,He's a very good hospital servant.,He's a good hospital servant.,He's a bad hospital servant.,He's a terrible hospital servant.,he,he,he,he,he
31-1131,31,1131,Nursing Assistants,Nursing Aide,3,Hemşire Yardımcısı,He's a nurse assistant.,He's a very good nurse assistant.,He's a good nurse assistant.,He's a bad nurse assistant.,He's a terrible nurse assistant.,he,he,he,he,he
31-1132,31,1132,Orderlies,Hospital Orderly,5,Hastane Klinik Destek Elemanı,He's a hospital clinical support member.,He's a very good hospital clinical support.,He's a good hospital clinical support.,He's a bad hospital clinical support.,He's a bad hospital clinical support.,he,he,he,he,he
31-2021,31,2021,Physical Therapist Assistants,Physical Therapy Technician,3,Fizik Tedavi Teknikeri,He's a physical therapy technician.,He's a very good physical therapy technician.,He's a good physical therapy technician.,He's a bad physical therapy technician.,He's a very bad physical therapy technician.,he,he,he,he,he
31-2021,31,2021,Physical Therapist Assistants,Physiotherapy Assistant,3,Fizyoterapist Yardımcısı,He's an assistant physiotherapist.,He's a very good physiotherapist assistant.,He's a good assistant physiotherapist.,He's a bad physiotherapist assistant.,He's a bad physiotherapist assistant.,he,he,he,he,he
31-9011,31,9011,Massage Therapists,Licensed Massage Practitioner,5,Masaj Uygulayıcısı,He's a massage practitioner.,He's a very good massage practitioner.,He's a good massage practitioner.,He's a bad massager.,He's a very bad massager.,he,he,he,he,he
31-9011,31,9011,Massage Therapists,Licensed Massage Therapist,3,Masaj Terapisti,He's a massage therapist.,He's a very good massage therapist.,He's a good massage therapist.,He's a bad massage therapist.,He's a terrible massage therapist.,he,he,he,he,he
31-9091,31,9091,Dental Assistants,Certified Dental Assistant,3,Diş Hekimi Asistanı,He's a dentist assistant.,He's a very good dentist assistant.,He's a good dentist assistant.,He's a bad dentist assistant.,He's a bad dentist assistant.,he,he,he,he,he
31-9092,31,9092,Medical Assistants,Autopsy Assistant,3,Otopsi Yardımcılığı Sağlık Teknikeri,He's an autopsy assistant health technician.,He's a very good autopsy assistant health technician.,He's a good autopsy assistant health technician.,He's a bad autopsy assistant health technician.,He's a bad autopsy assistant health technician.,he,he,he,he,he
31-9092,31,9092,Medical Assistants,Certified Medical Assistant,2,Tıp Asistanı,He's a medical assistant.,He's a very good medical assistant.,He's a good medical assistant.,He's a bad medical assistant.,He's a terrible medical assistant.,he,he,he,he,he
31-9093,31,9093,Medical Equipment Preparers,Sterilization Specialist,5,Sterilizasyon Görevlisi,He's a sterilizer.,He's a very good sterilizer.,He's a good sterilization officer.,He's a bad sterilization officer.,He's a very bad sterilization officer.,he,he,he,he,he
31-9093,31,9093,Medical Equipment Preparers,Sterilization Technician,3,Sterilizasyon Teknisyeni,He's a sterilization technician.,He's a very good sterilization technician.,He's a good sterilization technician.,He's a bad sterilization technician.,He's a very bad sterilization technician.,he,he,he,he,he
31-9095,31,9095,Pharmacy Aides,Pharmacist Assistant,2,Yardımcı Eczacı,He's an assistant pharmacist.,He's a very good assistant pharmacist.,He's a good assistant pharmacist.,He's a bad assistant pharmacist.,He's a terrible assistant pharmacist.,he,he,he,he,he
31-9095,31,9095,Pharmacy Aides,Pharmacy Clerk,5,Eczane işçisi,He's a pharmacy worker.,He's a very good drugstore worker.,He's a good pharmacy worker.,He's a bad pharmacy worker.,He's a terrible pharmacy worker.,he,he,he,he,he
31-9095,31,9095,Pharmacy Aides,Prescription Clerk,2,Majistral Eczacı,He's a majistral pharmacist.,He's a very good majistral pharmacist.,He's a good majistral pharmacist.,He's a bad majistral pharmacist.,He's a terrible majistral pharmacist.,he,he,he,he,he
31-9096,31,9096,Veterinary Assistants and Laboratory Animal Caretakers,Veterinarian Assistant,3,Veteriner Yardımcısı,He's a veterinarian assistant.,He's a very good veterinarian assistant.,He's a good veterinarian assistant.,He's a bad veterinarian.,He's a terrible veterinarian assistant.,he,he,he,he,he
31-9096,31,9096,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Attendant,5,Veterinerlik Hizmetleri işçisi,He's a veterinary service worker.,He's a very good veterinary service worker.,He's a good veterinary service worker.,He's a bad veterinary service worker.,He's a bad veterinary service worker.,he,he,he,he,he
31-9099,31,9099,"Healthcare Support Workers, All Other",Ortho/Prosthetic Aide,3,Diş Protez Yardımcı Personeli,He is a dental prosthetic assistant staff.,He is a very good dental prosthesis assistant staff.,He is a good dental prosthesis assistant staff.,He is a bad dental prosthesis assistant staff.,He is a very bad dental prosthesis assistant staff.,he,he,he,he,he
33-1012,33,1012,First-Line Supervisors of Police and Detectives,Police Lieutenant,1,Emniyet Amiri,He's a safety supervisor.,He's a very good safety supervisor.,He's a good safety supervisor.,He's a bad safety supervisor.,He's a terrible police officer.,he,he,he,he,he
33-1012,33,1012,First-Line Supervisors of Police and Detectives,Traffic Lieutenant,5,Trafik Polisi,He's a traffic cop.,He's a very good traffic cop.,He's a good traffic cop.,He's a bad traffic cop.,He's a terrible traffic cop.,he,he,he,he,he
33-1021,33,1021,First-Line Supervisors of Fire Fighting and Prevention Workers,Fire Lieutenant,5,itfaiye Başçavuşu,He's a fire fighter sergeant.,He's a very good fire fighter sergeant.,He's a good fire fighter sergeant.,He's a bad fire fighter sergeant.,He's a terrible fire fighter sergeant.,he,he,he,he,he
33-1021,33,1021,First-Line Supervisors of Fire Fighting and Prevention Workers,Supervising Fire Marshal,1,itfaiye Müdürü,He's a fire department manager.,He's a very good fire manager.,He's a good fire manager.,He's a bad fire manager.,He's a terrible fire manager.,he,he,he,he,he
33-1091,33,1091,First-Line Supervisors of Security Workers,Security Guard Supervisor,5,Güvenlik Amiri,He's a security supervisor.,He's a very good security supervisor.,He's a good security supervisor.,He's a bad security chief.,He's a terrible security supervisor.,he,he,he,he,he
33-2011,33,2011,Firefighters,Fire Fighter,5,itfaiyeci,He's a fireman.,He's a very good fireman.,He's a good fireman.,He's a bad fireman.,He's a terrible fireman.,he,he,he,he,he
33-2011,33,2011,Firefighters,Forest Firefighter,5,Orman itfaiyecisi,He's a forest fireman.,He's a very good forest fireman.,He's a good forest fireman.,He's a bad forest fireman.,He's a terrible forest fireman.,he,he,he,he,he
33-2022,33,2022,Forest Fire Inspectors and Prevention Specialists,Forest Fire Officer,5,Orman Muhafaza Memuru,He's a forest guard officer.,He's a very good forest conservation officer.,He's a good forest conservation officer.,He's a bad forest guard officer.,He's a very bad forest guard officer.,he,he,he,he,he
33-3011,33,3011,Bailiffs,City Bailiff,1,icra Müdürü,He's an executive director.,He's a very good executive officer.,He's a good executive officer.,He's a bad executive officer.,He's a terrible executive officer.,he,he,he,he,he
33-3011,33,3011,Bailiffs,Court Bailiff,3,Mübaşir,He's a lame.,He's a very good lame.,He's a good lad.,He's a bad bailor.,He's a terrible bailor.,he,he,he,he,he
33-3012,33,3012,Correctional Officers and Jailers,Correction Officer,5,infaz ve Koruma Memuru,He's an execution and protection officer.,He's a very good execution and protection officer.,He's a good execution and protection officer.,He's a bad execution and protection officer.,He's a terrible execution and protection officer.,he,he,he,he,he
33-3021,33,3021,Detectives and Criminal Investigators,Homicide Detective,3,Dedektif,He's a detective.,He's a very good detective.,He's a good detective.,He's a bad detective.,He's a terrible detective.,he,he,he,he,he
33-3021,33,3021,Detectives and Criminal Investigators,Narcotics Detective,5,Narkotik Polisi,He's a narcotic cop.,He's a very good narcotic cop.,He's a good narcotic cop.,He's a bad narcotic cop.,He's a terrible narcotic cop.,he,he,he,he,he
33-3051,33,3051,Police and Sheriff's Patrol Officers,Policeman,5,Polis Memuru,He's a police officer.,He's a very good police officer.,He's a good police officer.,He's a bad police officer.,He's a terrible police officer.,he,he,he,he,he
33-3052,33,3052,Transit and Railroad Police,Track Patrol,8,Demiryolu Yol Bekçisi,He's a railroad guard.,He's a very good railroad guard.,He's a good railroad guard.,He's a bad railroad guard.,He's a terrible railroad guard.,he,he,he,he,he
33-9032,33,9032,Security Guards,Armed Guard,5,Silahlı Güvenlik Görevlisi,He's an armed security guard.,He's a very good armed security guard.,He's a good armed security guard.,He's a bad armed security guard.,He's a terrible armed security guard.,he,he,he,he,he
33-9032,33,9032,Security Guards,Bank Guard,5,Banka Güvenlik Görevlisi,He's a bank security guard.,He's a very good bank security guard.,He's a good bank security guard.,He's a bad bank security guard.,He's a bad bank security guard.,he,he,he,he,he
33-9032,33,9032,Security Guards,Bodyguard,5,Bodyguart,He's a bodyguart.,He's a very good bodyguart.,He's a good bodyguart.,He's a bad bodyguart.,He's a very bad bodyguart.,he,he,he,he,he
33-9032,33,9032,Security Guards,Bouncer,5,Bekçi,He's a guard.,He's a very good guard.,He's a good guard.,He's a bad guard.,He's a terrible guard.,he,he,he,he,he
33-9032,33,9032,Security Guards,Private Watchman,5,Özel Güvenlik ve Koruma Meslek Elemanı,He is a private security and protection professional.,He is a very good private security and protection professional.,He is a good private security and protection professional.,He's a bad private security and protection professional.,He's a very bad private security and protection professional.,he,he,he,he,he
33-9032,33,9032,Security Guards,Security Officer,5,Güvenlik Görevlisi,He's a security guard.,He's a very good security guard.,He's a good security guard.,He's a bad security guard.,He's a terrible security guard.,he,he,he,he,he
33-9092,33,9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Life Guard,5,Cankurtaran,He's a lifeguard.,He's a very good lifeguard.,He's a good lifeguard.,He's a bad lifeguard.,He's a terrible lifeguard.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Banquet Chef,5,Aşçı,He's a cook.,He's a very good cook.,He's a good cook.,He's a bad cook.,He's a bad cook.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Kitchen Chef,3,Mutfak Şefi,He's a kitchen chef.,He's a very good kitchen chef.,He's a good kitchen chef.,He's a bad kitchen chef.,He's a bad kitchen chef.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Master Chef,3,Aşçıbaşı,He's a cook.,He's a very good cook.,He's a good cook.,He's a bad cook.,He's a terrible cook.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Sous Chef,5,Aşçı Yardımcısı,He's a cook assistant.,He's a very good cook assistant.,He's a good cook assistant.,He's a bad cook assistant.,He's a bad cook assistant.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Sushi Chef,9,Suşi Ustası,He's a sushi master.,He's a very good sushi master.,He's a good sushi master.,He's a bad sushi master.,He's a terrible sushi master.,he,he,he,he,he
35-1012,35,1012,First-Line Supervisors of Food Preparation and Serving Workers,Bar Manager,1,Bar Müdürü,He's a bar manager.,He's a very good bar manager.,He's a good bar manager.,He's a bad bar manager.,He's a terrible bar manager.,he,he,he,he,he
35-1012,35,1012,First-Line Supervisors of Food Preparation and Serving Workers,Head Waiter,5,Şef Garson,He's a chef waitress.,He's a very good chef waitress.,He's a good chef waitress.,He's a bad chef waitress.,He's a bad chef waitress.,he,he,he,he,he
35-2011,35,2011,"Cooks, Fast Food",Fast Food Cook,9,Fast Food Hazırlayıcısı,He's a fast food maker.,He's a very good fast food maker.,He's a good fast food maker.,He's a bad fast food maker.,He's a very bad fast food maker.,he,he,he,he,he
35-2013,35,2013,"Cooks, Private Household",Private Chef,5,Özel Hizmet Aşçı,He's a special service cook.,He is a very good special service cook.,He is a good special service cook.,He's a bad special service cook.,He's a very bad special service cook.,he,he,he,he,he
35-2014,35,2014,"Cooks, Restaurant",Breakfast Cook,3,Kahvaltı Şefi,He's a breakfast chef.,He's a very good breakfast chef.,He's a good breakfast chef.,He's a bad breakfast chef.,He's a bad breakfast chef.,he,he,he,he,he
35-2021,35,2021,Food Preparation Workers,Fruit and Vegetable Parer,7,Meyve Sebze Ayıklama işçisi,He's a fruit and vegetable sorting worker.,He's a very good fruit and vegetable sorting worker.,He's a good fruit and vegetable sorting worker.,He's a bad fruit and vegetable sorting worker.,He's a very bad fruit and vegetable sorting worker.,he,he,he,he,he
35-2021,35,2021,Food Preparation Workers,Salad Maker,5,Salatacı ,He's a salad maker.,He's a very good salad maker.,He's a good salad maker.,He's a bad salad maker.,He's a terrible salad maker.,he,he,he,he,he
35-3011,35,3011,Bartenders,Barkeep,5,Bar Görevlisi,He's a bar guard.,He's a very good bar guard.,He's a good bar guard.,He's a bad bar guard.,He's a terrible bar guard.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Barista,8,Barista,She's a barista.,She's a very good barista.,She's a good barista.,She's a bad barista.,She's a terrible barista.,she,she,she,she,she
35-3023,35,3023,Fast Food and Counter Workers,Cafeteria Server,9,Yemekhane servis işçisi,He's a refectory service worker.,He's a very good refectory service worker.,He's a good refectory service worker.,He's a bad refectory service worker.,He's a terrible refectory service worker.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Food Counter Worker,5,Yiyecek Servis Tezgahı Çalışanı,He's a food service bench worker.,He's a very good food service bench worker.,He's a good food service bench worker.,He's a bad food service bench worker.,He's a bad food service bench worker.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Ice Cream Server,5,Dondurmacı,He's an ice cream maker.,He's a very good ice cream maker.,He's a good ice cream maker.,He's a bad ice cream maker.,He's a terrible ice cream maker.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Snack Bar Attendant,1,Snack Bar işletmecisi,He's a snack bar operator.,He's a very good snack bar operator.,He's a good snack bar operator.,He's a bad snack bar operator.,He's a terrible snack bar operator.,he,he,he,he,he
35-3031,35,3031,Waiters and Waitresses,Restaurant Server,5,Garson ,He's a waitress.,He's a very good waitress.,He's a good waitress.,He's a bad waitress.,He's a terrible waitress.,he,he,he,he,he
35-3031,35,3031,Waiters and Waitresses,Wine Steward,5,Şarap Servisi Garson,He's a wine service waiter.,He's a very good wine service waiter.,He's a good wine service waiter.,He's a bad wine service waiter.,He's a very bad wine service waiter.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Banquet Set Up Person,9,Yemekhane işçisi,He's a refectory worker.,He's a very good refectory worker.,He's a good refectory worker.,He's a bad refectory worker.,He's a terrible refectory worker.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Barback,5,Bar Servis Elemanı,He's a bar service guy.,He's a very good bar service guy.,He's a good bar service guy.,He's a bad bar service guy.,He's a terrible bar service guy.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Buffet Attendant,5,Büfeci,He's a buffet.,He's a very good buffet.,He's a good buffet.,He's a bad buffet.,He's a terrible buffet.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Busser,5,Servis Komisi,He's a service comi.,He's a very good service combi.,He's a good service comi.,He's a bad service comi.,He's a bad service comi.,he,he,he,he,he
35-9021,35,9021,Dishwashers,Dishwasher,9,Bulaşıkçı,He's a dishwasher.,He's a very good dishwasher.,He's a good dishwasher.,He's a bad dishwasher.,He's a terrible dishwasher.,he,he,he,he,he
35-9031,35,9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Bar Host/Hostess,5,Kahvehane işletmecisi,He's a coffee shop operator.,He's a very good coffee shop operator.,He's a good coffee shop operator.,He's a bad coffee shop operator.,He's a bad coffee shop operator.,he,he,he,he,he
35-9031,35,9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Tearoom Host/Hostess,5,Çay Servis Elemanı,He's a tea serving man.,He's a very good tea serving man.,He's a good tea serving man.,He's a bad tea serving guy.,He's a bad tea serving guy.,he,he,he,he,he
37-1011,37,1011,First-Line Supervisors of Housekeeping and Janitorial Workers,Head Custodian,5,Temizlik Şefi,He's a cleaning chief.,He's a very good cleaning chief.,He's a good cleaning chief.,He's a bad cleaning chief.,He's a bad cleaning chief.,he,he,he,he,he
37-1012,37,1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Turf and Grounds Supervisor,9,Çim Saha Görevlisi,He's a lawn fielder.,He's a very good lawn fielder.,He's a good lawn fielder.,He's a bad lawn fielder.,He's a very bad lawn fielder.,he,he,he,he,he
37-2011,37,2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Cleaning and Maintenance Worker,9,Temizlik Görevlisi,He's a cleaning officer.,He's a very good cleaning officer.,He's a good cleaning officer.,He's a bad cleaning officer.,He's a bad cleaning officer.,he,he,he,he,he
37-2011,37,2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Window Cleaner,9,Cam Temizleyici,It's a glass cleaner.,He's a very good glass cleaner.,He's a good glass cleaner.,He's a bad glass cleaner.,He's a very bad glass cleaner.,it,he,he,he,he
37-2012,37,2012,Maids and Housekeeping Cleaners,Housekeeping Aide,9,Ev işleri Hizmetçi,He's a housework maid.,He's a very good housework maid.,He's a good housework maid.,He's a bad housework maid.,He's a bad housekeeper.,he,he,he,he,he
37-2012,37,2012,Maids and Housekeeping Cleaners,Housekeeping Staff,9,Kat Hizmetleri Elemanı,He's a house service guy.,He's a very good house service guy.,He's a good housekeeping guy.,He's a bad housekeeping guy.,He's a terrible housekeeping guy.,he,he,he,he,he
37-2019,37,2019,"Building Cleaning Workers, All Other",Chimney Sweep,7,Baca Temizleyicisi,It's a chimney cleaner.,He's a very good chimney cleaner.,He's a good chimney cleaner.,He's a bad chimney cleaner.,He's a very bad chimney cleaner.,it,he,he,he,he
37-2021,37,2021,Pest Control Workers,Exterminator,6,ilaçlamacı,He's a sprawler.,He's a very good sprawler.,He's a good sprawler.,He's a bad sprawler.,He's a terrible sprawler.,he,he,he,he,he
37-3011,37,3011,Landscaping and Groundskeeping Workers,Shrub Planter,6,Süs Çalıları Yetiştiricisi,He's a breeder of ornamental shrubs.,He's a very good breeder of ornamental shrubs.,He's a good breeder of ornamental shrubs.,He's a bad ornamental shrubs grower.,He's a very bad ornamental shrubs grower.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Certified Pesticide Applicator,7,Zararlı Böcek Kontrolörü,He's a pest controller.,He's a very good pest controller.,He's a good pest controller.,He's a bad pest insect controller.,He's a very bad pest controller.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Fruit Sprayer,6,Meyve Ağaçlarında Aşılamacı,He's a grafting on fruit trees.,He's a very good grafting on fruit trees.,He's a good grafting on fruit trees.,He's a bad fruit grafting on trees.,He's a very bad grafting on fruit trees.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Herbicide Sprayer,7,Filit işçisi,He's a philite worker.,He's a very good philit worker.,He's a good philit worker.,He's a bad philit worker.,He's a bad philt worker.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Orchard Sprayer,7,Ağaç ilaçlama işçisi,He's a tree spraying worker.,He's a very good tree-spraying worker.,He's a good tree-spraying worker.,He's a bad tree spraying worker.,He's a terrible tree-spraying worker.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Plant Sprayer,6,Bitki ilaçlamacı,He's a herbal sprawler.,He's a very good herbal sprawler.,He's a good herbal sprawler.,He's a bad herbal sprawler.,He's a terrible herbal sprawler.,he,he,he,he,he
37-3012,37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Weed Sprayer,7,Yabani Ot Kontrolörü,He's a weed controller.,He's a very good weed controller.,He's a good weed controller.,He's a bad weed controller.,He's a very bad weed controller.,he,he,he,he,he
37-3013,37,3013,Tree Trimmers and Pruners,Pruner,6,Budamacı,He's a pist.,He's a very good puncher.,He's a good pist.,He's a bad pist.,He's a terrible pist.,he,he,he,he,he
39-2011,39,2011,Animal Trainers,Dog Trainer,5,Köpek Eğitmeni,He's a dog trainer.,He's a very good dog trainer.,He's a good dog trainer.,He's a bad dog trainer.,He's a terrible dog trainer.,he,he,he,he,he
39-2011,39,2011,Animal Trainers,Dolphin Trainer,5,Yunus Eğitmeni,He's a dolphin trainer.,He's a very good dolphin trainer.,He's a good dolphin trainer.,He's a bad dolphin trainer.,He's a terrible dolphin trainer.,he,he,he,he,he
39-2011,39,2011,Animal Trainers,Horse Breaker,5,At Antrenörü,He's a horse coach.,He's a very good horse coach.,He's a good horse coach.,He's a bad horse coach.,He's a terrible horse coach.,he,he,he,he,he
39-2021,39,2021,Animal Caretakers,Aquarist,7,Akvaryum Ustası,He's an aquarium master.,He's a very good aquarium master.,He's a good aquarium master.,He's a bad aquarium master.,He's a terrible aquarium master.,he,he,he,he,he
39-2021,39,2021,Animal Caretakers,Horse Exerciser,6,Hayvan Bakıcısı,He's an animal sitter.,He's a very good pet sitter.,He's a good pet sitter.,He's a bad pet sitter.,He's a bad animal sitter.,he,he,he,he,he
39-2021,39,2021,Animal Caretakers,Pet Groomer,5,Evcil Hayvan Kuaförü,She's a pet hairdresser.,She's a very good pet hairdresser.,She's a good pet hairdresser.,She's a bad pet hairdresser.,She's a very bad pet hairdresser.,she,she,she,she,she
39-2021,39,2021,Animal Caretakers,Pet Sitter,6,Hayvan Bakıcısı,He's an animal sitter.,He's a very good pet sitter.,He's a good pet sitter.,He's a bad pet sitter.,He's a bad animal sitter.,he,he,he,he,he
39-3011,39,3011,Gambling Dealers,21 Dealer,4,Krupiye,He's a croupier.,He's a very good croupier.,He's a good croupier.,He's a bad croupier.,He's a terrible croupier.,he,he,he,he,he
39-3012,39,3012,Gambling and Sports Book Writers and Runners,Bookie,4,Spor Bahisçi,He's a sports bookmaker.,He's a very good sports bookmaker.,He's a good sports bookie.,He's a bad sports bookie.,He's a terrible sports bookie.,he,he,he,he,he
39-3021,39,3021,Motion Picture Projectionists,Movie Projectionist,3,Sinema Makinisti,He's a movie machine.,He's a very good movie machine.,He's a good movie machine.,He's a bad movie machine.,He's a terrible movie machine.,he,he,he,he,he
39-3021,39,3021,Motion Picture Projectionists,Stereoptician,7,Sterotip Klişeci,He's a stereotype clichist.,He's a very good stereotype clichist.,He's a good stereotype clichist.,He's a bad stereotype clichist.,He's a very bad stereotype clichist.,he,he,he,he,he
39-3031,39,3031,"Ushers, Lobby Attendants, and Ticket Takers",Lobby Attendant,5,Lobi Karşılama Görevlisi,He's a lobby welcome officer.,He's a very good lobby welcome officer.,He's a good lobby welcoming officer.,He's a bad lobby welcoming officer.,He's a bad lobby welcoming officer.,he,he,he,he,he
39-3031,39,3031,"Ushers, Lobby Attendants, and Ticket Takers",Theater Usher,9,Tiyatro Yer Gösterici,He's a theater showman.,He's a very good theatrical locator.,He's a good theater showman.,He's a bad theatrical locator.,He's a very bad theatrical locator.,he,he,he,he,he
39-3031,39,3031,"Ushers, Lobby Attendants, and Ticket Takers",Ticket Collector,9,Bilet Toplayıcısı,He's a ticket collector.,He's a very good ticket collector.,He's a good ticket collector.,He's a bad ticket collector.,He's a terrible ticket collector.,he,he,he,he,he
39-3091,39,3091,Amusement and Recreation Attendants,Amusement Park Worker,9,Oyun Parkı Görevlisi,He's a playground attendant.,He's a very good playground attendant.,He's a good playground attendant.,He's a bad playground guard.,He's a bad playground guard.,he,he,he,he,he
39-3091,39,3091,Amusement and Recreation Attendants,Golf Caddy,9,Golf sopa ve top taşıyıcısı,He's a golf stick and ball carrier.,He is a very good golf stick and ball carrier.,He's a good golf stick and ball carrier.,He's a bad golf stick and ball carrier.,He's a very bad golf stick and ball carrier.,he,he,he,he,he
39-3092,39,3092,Costume Attendants,Wardrobe Dresser,7,Kostümcü,He's a costumer.,He's a very good costume.,He's a good costume.,He's a bad costume.,He's a terrible costume.,he,he,he,he,he
39-3093,39,3093,"Locker Room, Coatroom, and Dressing Room Attendants",Coat Checker,9,Vestiyer elemanı,He's a cloakroom guy.,He's a very good cloakroom guy.,He's a good cloakroom guy.,He's a bad cloakroom guy.,He's a terrible cloakroom guy.,he,he,he,he,he
39-4011,39,4011,Embalmers,Restorative Art Embalmer,2,Tablo Restorasyon Sanatkarı,He's a painting restoration artist.,He is a very good painting restoration artist.,He's a good painting restoration artist.,He's a bad painting restoration artist.,He's a very bad painting restoration artist.,he,he,he,he,he
39-4021,39,4021,Funeral Attendants,Funeral Assistant,5,Cenaze Levazımatcısı,He's a funeral ruler.,He's a very good funerist.,He's a good funeral ruler.,He's a bad funeral ruler.,He's a terrible funeral ruler.,he,he,he,he,he
39-5012,39,5012,"Hairdressers, Hairstylists, and Cosmetologists",Beautician,5,Cilt Bakım Ve Güzellik Meslek Elemanı,She is a professional element of skin care and beauty.,She is a very good professional element of skin care and beauty.,She is a professional element of good skin care and beauty.,He is a bad professional element of skin care and beauty.,He is a very bad professional element of skin care and beauty.,she,she,she,he,he
39-5012,39,5012,"Hairdressers, Hairstylists, and Cosmetologists",Hair Colorist,5,Saça Geçici ve Kalıcı Boyama Teknikleri Uygulayıcısı,He is a practitioner of temporary and permanent staining techniques on hair.,He is a very good practitioner of temporary and permanent staining techniques on hair.,He is a good practitioner of temporary and permanent staining techniques on hair.,He is a practitioner of temporary and permanent staining techniques on a bad hair.,He is a practitioner of temporary and permanent staining techniques on a very bad hair.,he,he,he,he,he
39-5012,39,5012,"Hairdressers, Hairstylists, and Cosmetologists",Hair Stylist,5,Saça Geçici ve Kalıcı Şekil Verme Teknikleri Uygulayıcısı,He is a practitioner of techniques of giving a temporary and permanent shape to a hair.,He is a very good practitioner of temporary and permanent shaping techniques for hair.,He is a good practitioner of techniques for temporary and permanent shaping of hair.,He is a practitioner of techniques for giving a temporary and permanent shape to a bad hair.,He is a very bad practitioner of temporary and permanent shaping techniques of hair.,he,he,he,he,he
39-5012,39,5012,"Hairdressers, Hairstylists, and Cosmetologists",Hairdresser,5,Kuaför,She's a hairdresser.,She's a very good hairdresser.,She's a good hairdresser.,She's a bad hairdresser.,She's a bad hairdresser.,she,she,she,she,she
39-5012,39,5012,"Hairdressers, Hairstylists, and Cosmetologists",Wig Stylist,7,Perukacı,He's a wig.,He's a very good wig.,He's a good wig.,He's a bad wig.,He's a terrible wig.,he,he,he,he,he
39-5091,39,5091,"Makeup Artists, Theatrical and Performance",Special Effects Makeup Artist,5,Sahne Ve Stüdyo Makyajcı,He's a stage and studio make-up maker.,She's a very good stage and studio make-up maker.,He's a good stage and studio make-up maker.,He's a bad scene and studio make-up maker.,He's a very bad scene and studio make-up maker.,he,she,he,he,he
