"Source: https://esube.iskur.gov.tr/Meslek/meslek.aspx -> click on ""Tüm meslek listesini görmek için tıklayınız",
ISCO-08 KODU,MESLEK ADI
7536.04,Ayakkabı İmalatçısı (Montaj)
7536.05,Ayakkabı ve Saraciye Tamircisi
7536.06,"Bot, Çizme Ve Ayakkabı Perdahçısı"
7536.07,Deri Eşya/Aksesuar İmal İşçisi
7536.08,Diğer Ayakkabı İmalatçıları Ve Tamircileri
7536.09,Diğer Deri Eşya İmalcileri
7536.1,"Diğer Kesiciler, Sayacılar,dikişçiler Ve İlgili İşçiler"
7536.11,Eyer Saracı
7536.12,Istampacı-Ayakkabı
7536.13,Deri Kesici (Elle)
7536.14,Koşum Saracı
7536.15,Ortopedik Ayakkabı İmalat İşçisi
7536.16,Saya Hazırlayıcı
7536.17,Taban Presçisi
7536.18,Tamirci-Ayakkabı
7536.19,Sahne Kunduracısı
7536.2,Saraç
7536.21,Çarık Ustası
7536.22,Mest Ustası
7536.23,Köşker (Yemeni Ustası)
7536.25,Saraciye Traşcısı
7536.26,Saraciye Üretim Elemanı
7536.27,Çanta Tamircisi
7536.28,Ayakkabı Modelisti
7536.29,Saraciye Modelisti
7536.3,Ayakkabı El Montajcısı
7536.31,Temel Ayakkabı Tasarımcısı
7536.32,Ayakkabı Finisajcısı
7536.33,Takunya (Nalın) Ustası
7536.34,Harik Ustası
7541.01,Dalgıç (Balıkadam)
7541.02,Tazyik Odası Operatörü
7542.01,Ateşçi (Dinamitçi)
7542.02,Cephane Islahatçısı
7542.03,Patlayıcı Madde İmha Uzmanı
7542.04,Havai Fişek Ateşleyicisi
7543.01,Çorap Kontrolörü
7543.02,Elektrik Ve Elektronik Araçlar Kalite Kontrolcüsü
7543.03,Halat Kontrolörü
7543.04,Halı Kontrolörü
7543.05,Kalite Kontrolcü
7543.06,Kalite Kontrolörü-Kumaş
7543.07,Malzeme Muayene ve Kontrolcüsü
7543.08,Örgü Kontrolörü
7543.09,Kalite Kontrolcü (Çimento)
7543.1,Kalite Kontrolcüsü (Çelik Mutfak Eşyaları)
7543.11,Oto Hurdacısı
7543.14,Ham Lata Kalite Kontrolörü (Kurşun Kalem)
7543.16,Hurda Eksperi
7543.17,Kalite Kontrolcü-Tekstil
7543.18,Kalite Kontrolcü (Giyim Üretimi)
7543.19,Deri Tekstil Kalite Kontrol
7543.2,Tiftik Eksperi
7543.23,Kalite Kontrol İşçisi (Cam)
7543.24,Elyaf Değerlendirici
7543.25,Elyaf Eksperi
7543.26,Tül Perde Kontrol İşçisi
7543.27,Desen Kontrol İşçisi (Tekstil)
7543.28,Konfeksiyon Kontrolörü
7543.29,Kalite Kontrolcü (Ayakkabı)
7543.31,Metocu/Numaratör
7543.32,Kalite Kontrolcü (Maden)
7543.33,Kalite Kontrolcü (Metal)
7543.34,Kalite Kontrolcü (Plastik)
7543.35,Kalite Kontrolcü (Boya)
7543.36,Denye Kontrolcü
7543.37,Tefrik Kontrolcü (İplik)
7544.01,Yabani Ot Kontrolörü
7544.02,Zararlı Böcek Kontrolörü
7544.03,Filit İşçisi (Haşere İlaçlama)
7544.04,Biyosidal Ürün Uygulayıcısı
7549.01,Çiçek Tanzimcisi
7549.02,Mercek Camı Yapım İşçisi
7549.03,Protez Ortez Ustası
7549.04,Teknik Servis Elemanı
7549.05,Göz İçi Lens Üretim Elemanı
8111.01,Diğer Madenciler Ve Taş Ocakçılar
8111.02,Madenci (Genel)
8111.03,Tahkimatçı-Maden Ocağı
8111.04,Taş Ocakçı (Genel)
8111.05,Yer Altı Maden İşletmesi Hazırlık Elemanı
8111.06,Tesis İşçisi (Maden)
8111.07,Kumanda Merkezi Operatörü (Kömür Madeni)
8111.08,Bant Kontrol Merkezi Operatörü (Kömür Madeni)
8111.09,Tekkars Operatörü
8111.1,Yer Operatörü
8111.11,Tahsiyeci (Kurtarıcı) (Maden Ocağı)
8111.12,Yürüyen Tahkimat Sürücüsü
8111.13,Dragline Operatörü
8111.14,Galeri Açma Makinesi Operatörü (Maden Ocağı)
8111.15,Yer Altı Müteferrik İşçisi
8111.16,Bant Kaydırıcı Ve Tanzimcisi
8111.17,İhrazat İşçisi
8111.18,İhrazatçı
8111.19,Taş İşaretleme İşçisi
8111.2,Zemin Delgi  (Delik Delme ve Sondaj) Makinesi Operatörü
8111.21,Dolgu Makinesi Operatörü
8111.22,Mermer Ocakçısı
8111.23,Otomatik Maden Makinesi Operatörü
8111.24,Tamburlu Kesici Operatörü
8111.25,Tulumbacı-Maden Ocağı
8111.26,Boru Ajöstörü-Yer Altı
8111.27,Kazmacı-Maden Ve Taşocağı
8111.28,Oltu Taşı Çıkarma Ustası
8111.29,Mekanize Kazı Operatörü
8111.3,Mekanizasyon-Pres İşçisi
8111.31,Aspiratör Operatörü
8112.01,Ayırıcı Cihaz Operatörü-Maden
8112.02,Diğer Mineralleri Muameleye Tabi Tutanlar
8112.03,Filtre Tesisi Operatörü-Maden
8112.04,Fırın Operatörü-Mineral Kurutma
8112.05,Jig Operatörü
8112.06,Manyetik Ayırıcı Operatörü-Maden
8112.07,Mineral Kırma Makinesi Operatörü
8112.08,Öğütme Tesisi Operatörü-Madencilik
8112.09,Siyanür Cihazı Operatörü (Cevher İşleme)
8112.1,Taş Planya Makinesi Operatörü
8112.11,Taş Perdah İşçisi (Makine İle)
8112.12,Tortu İşçisi-Altın Veya Gümüş
8112.13,Yıkama Makinesi Operatörü (Maden)
8112.14,Yüzdürme İşletme Operatörü-Maden
8112.15,Mermer Silim İşçisi
8112.16,Mermer Dolum İşçisi
8112.17,Mermer Seleksiyon İşçisi
8112.18,Katrak Makinesi Operatörü (Mermer)
8112.19,Mermerit Döküm İşçisi
8112.2,Kurutmacı (Kömür)
8112.21,Tesis Kumanda Operatörü (Kömür)
8112.22,Kumlama Makinesi Operatörü
8112.23,Mermer Torna Makinesi Operatörü
8112.24,Konkasör Operatörü (Kırma-Eleme)
8112.25,CNC Mermer İşleme Makinesi Operatörü
8112.26,Değirmen İşçisi (Maden)
8112.27,Kimyasal Cevher Zenginleştirme Operatörü
8112.28,Mekanik(Fiziksel) Cevher Zenginleştirme Operatörü
8112.29,Reaktif Hazırlayıcı
8113.02,Çektirmeci-Petrol Ve Doğalgaz Kuyuları
8113.03,"Çimentolama, Asitleme Ve Test Operatörü-Petrol Ve Doğal Gaz Kuyuları"
8113.04,Derikmen-Petrol
8113.05,Dinamometre Operatörü
8113.06,Döner Sondaj Makinesi Operatörü-Petrol Ve Doğal Gaz Kuyuları
8113.07,Ekip Makinisti-Petrol
8113.08,Kablolu Sondaj Makinesi Operatörü-Petrol Ve Doğalgaz Kuyuları
8113.09,Kule Operatörü-Petrol
8113.1,Log Operatörü-Petrol
8113.11,Maden Sondörü
8113.12,Petrol Sondörü
8113.13,Sondaj Çamurcusu
8113.14,Sondaj Kulesi Montörü-Petrol Ve Doğalgaz Kuyuları
8113.15,Su Sondaj Operatörü
8113.16,Sondaj İşçisi
8113.17,Sondaj Operatörü/Sondör
8114.01,Merkezi Kumanda Operatörü (Çimento)
8114.02,Çimento İmal İşçisi
8114.03,Beton Pompa-Püskürtme Operatörü
8114.04,Beton Santral Operatörü
8114.05,Beton Transmikser Operatörü
8114.06,Bez Ve Kağıt Astarlı Zımpara İmal İşçisi
8114.07,Diğer Metalik Olmayan Madenler İmalat İşçileri
8114.08,Dökme Beton İmal İşçisi
8114.09,Mermer Blok Kesme Makinesi Operatörü
8114.1,Mozaik İmal İşçisi (İnşaat)
8114.11,Kireç Söndürme İşçisi
8114.12,Betoniyer Operatörü
8114.13,Kireç Fırın Operatörü
8114.14,Mermer Ebatlandırma İşçisi
8114.15,Alçı İmalat İşçisi
8114.16,Büz İmal İşçisi
8114.17,İmal İşçisi
8114.18,Karo İmal İşçisi
8114.19,Parke Ve Bordür Taşı İmal İşçisi
8114.2,Püskürtmeli Kurutma (Spray Dryer) (Seramik)
8114.21,Gazbeton Kireç Hazırlama Operatörü
8114.22,Gazbeton Çamur Hazırlama Operatörü
8114.23,Gazbeton Kalıp Kesme Hattı Operatörü
8114.24,Gazbeton Kazan Otoklav Operatörü
8114.25,Gazbeton Döküm Vinci Operatörü
8114.26,Çimento Paketleme Makinesi Operatörü
8114.27,Taşyünü Asma Tavan İmalat İşçisi
8114.28,Kireç Paketleme İşçisi
8114.29,Bunker Operatörü (Hazır Beton)
8114.3,Çimento Üretim Elemanı
8114.31,Balata İmal İşçisi
8114.32,Alçılı Sargı Bezi Mikser Operatörü
8114.33,Beton Parke Üretim Makinası Operatörü
8114.34,Beton Boru Üretim Makinası Operatörü
8114.35,Beton Baca Üretim Makinası Operatörü
8114.36,Asbest Söküm Çalışanı
8114.37,Mermer Blok Çıkarma ve Plaka İmalatçısı
8114.38,Mermer İşlemeci
8114.39,Alçı Ve Alçı Levha Üretim Operatörü
8121.01,Basınçlı Döküm Makinesi Operatörü
8121.02,Açık Ocak İzabecisi (Martin) -Çelik
8121.03,Bessemer Veya Thomas İzabecisi-Çelik Tavlama
8121.04,"Diğer Metal Ergitme,tavlama Ve Tasfiye İzabecileri"
8121.05,Elektrik Ark Fırını İzabecisi (Çelik Tasfiyesi)
8121.06,İzabeci (Demirden Gayri Metal Üretimi Ve Tasfiyesi)
8121.07,İzabeci (Oksijen Ve Çelik Tavlama)
8121.08,Lens Ölçücüsü
8121.09,Galvanizli/Galvanizsiz Tel Ürünleri Üretim İşçisi
8121.1,Dikişli Boru Profil Üretim Operatörü
8121.11,Kupol Ocağı Operatörü
8121.12,Bitirme Haddecisi (Metal) (Soğuk Haddehane)
8121.13,Bobin Açıcı (Metal)
8121.14,Bobin Alıcı (Metal) (Soğuk Haddehane)
8121.15,Bobin Dikici (Metal) (Soğuk Haddehane)
8121.16,Bobin Hazırlayıcı (Metal) (Soğuk Haddehane)
8121.17,Bobin Sarıcı (Metal) (Soğuk Haddehane)
8121.18,Bobin Sıyırıcı (Metal) (Soğuk Haddehane)
8121.19,Bobin Verici (Metal) (Soğuk Haddehane)
8121.2,Dekapaj Kontrolcüsü (Metal) (Soğuk Haddehane)
8121.21,Diğer Haddehane Operatörleri (Metal)
8121.22,Diğer Metal Ergitmeciler Ve Metal Tavlayıcılar
8121.23,Dikişsiz Boru Haddecisi
8121.24,Doğrultma İşçisi-Metal (Soğuk Haddehane)
8121.25,Doğrultma İşçisi-Metal (Sıcak Haddehane)
8121.26,Enjeksiyon Pres Döküm Makinesi Operatörü
8121.27,Hadde Ayarcısı (Metal)
8121.28,Hadde Makasçısı (Sıcak Haddehane)
8121.29,Haddeci-Demir Dışı Metaller
8121.3,Haddehane Maniplatörü
8121.31,İzabeci (Kupola)
8121.32,İzabeci (Metal Ergitme) (Kupola Hariç)
8121.33,İzabeci (Metal Tavlama Ocağı)
8121.34,Kontinü Çubuk Döküm Makinesi Operatörü (Demirden Gayri Metaller)
8121.35,Kontinü Döküm Operatörü (Çelik)
8121.36,Kontinü Hadde Operatörü (Çelik)
8121.37,Metal Levha Markacısı-Sıcak Haddehane
8121.38,Pres Döküm Makinesi Operatörü
8121.39,Santrifüj Döküm Makinesi Operatörü
8121.4,Savurma Döküm Makinesi İşçisi
8121.41,Sıcak Haddeci-Çelik
8121.42,Soğuk Haddeci-Çelik
8121.43,Şarj İşçisi (Kupola Ocağı)
8121.44,Temizlik Hatçısı-Metal (Soğuk Haddehane)
8121.45,Testere Tezgahı İşçisi (Sıcak Haddehane)
8121.46,Çelikhane İşçisi
8121.47,Poteyaj Operatörü
8121.48,Afinaj Operatörü
8121.49,Haruri Muameleci (Döküm)
8121.5,İngot Dökümcüsü
8121.51,İngot Kalıp Hazırlama İşçisi
8121.52,Haddeler Kumanda Operatörü
8121.53,Potacı-Dökümcü
8121.54,"Diğer Tavcılar,su Vericiler Ve Sementasyon Tavcıları"
8121.55,Isıl İşlem Ustası
8121.56,Metal Sertleştirici
8121.57,Sementasyon Tavcısı-Metal
8121.58,Su Verici (Metal)
8121.59,Metal Boru Kesme Makinesi Operatörü
8121.6,Dikenli Tel Makinesi Operatörü
8121.61,Dikişsiz Boru Çekici
8121.62,Kafes Teli Makinesi Operatörü
8121.63,Kaynak Yolu Makinesi Operatörü-Metal Boru
8121.64,Spiral Kaynak Yolu Makinesi Operatörü-Metal Boru İmali
8121.65,Su Presi Operatörü-Metal Boru İmalatı
8121.66,Şekillendirme Makinesi Operatörü-Metal
8121.67,Tel Çekme İşçisi (Makine İle)
8121.68,Uç Kaynak Makinesi Operatörü (Metal Boru İmali)
8121.69,Yay Makinesi Operatörü
8121.7,Hadde Onarım İşçisi (Tel Çekme)
8121.71,Yay İmal İşçisi (Otomotiv)
8121.72,Metal Pres Makinesi Operatörü
8121.73,Kurşun Eritme Ve Dökme İşçisi (Fişek Saçması Ve Mermi Çekirdeği)
8121.74,Fleks Hortum Boru Makinesi Operatörü
8121.75,Havşa Makinesi Operatörü
8121.76,Isıl İşlem İşçisi
8121.77,Pres Makineleri Operatörü
8121.78,Pres Makineleri Operatör Yardımcısı
8121.79,Yüksek Fırın İşçisi
8121.8,Isıtıcı ve Pişirici Cihazlar Üretim Operatörü
8121.81,Bilgisayarlı Makine (CNC Operatörü )
8121.82,Pik Dökümcüsü (Makine İle)
8121.83,Metal Dökümcüsü (Elle)
8121.84,CNC Kayar Otomat Operatörü
8121.85,Döküm Ocakçısı
8121.86,Çelik Jant Makinesi Operatörü
8121.87,Alüminyum  Jant Makinesi Operatörü
8121.88,Dikişli Boru Profil Üretim Operatörü/Ustası
8121.89,Endüstriyel Metal Doğrultma İşçisi
8121.9,Soğuk Tel Haddeleme Elemanı
8121.91,Tel Tavlama ve Yüzey Kaplama Elemanı
8121.92,Tel Büküm Elemanı
8121.93,Gerdirme ve Kimyasal İşlem Operatörü(Metal)
8121.94,Motosiklet Parça ve Aksesuarları İmal İşçisi
8121.95,İndüksiyon Tezgah Operatörü
8122.01,Anot Dökümcüsü
8122.02,Asitleme İşçisi (Daldırma İle)
8122.03,Diğer Boyacılar (İnşaat Ve Bakım Hariç) (Makineyle)
8122.04,Diğer Elektroliz Kaplamacıları Ve Daldırma Kaplamacıları
8122.05,Diğer Metal İşlemcileri
8122.06,Elektrostatik Boya Operatörü
8122.07,Galvanizci (Daldırma İle)
8122.08,Haspel Makinesi Operatörü (Metal Boru İmali)
8122.09,Hassas Lak Sürme Makinesi İşçisi (Baskı Silindirleri)
8122.1,Kadmiyum Kaplama Tanburu İşçisi
8122.11,Kalay Kaplama Tanburu İşçisi
8122.12,Krom Ve Nikel Sökme İşçisi (Elektroliz İle)
8122.13,Kum Püskürtücü-Metal
8122.14,Lak Sürme Makinesi İşçisi-Metal Levha
8122.15,Metal Yüzey Kaplamacı
8122.16,Metal Kaplamacı (Sıcak Daldırma)
8122.17,Metal Püskürtücü
8122.18,Plaka Perde Makinesi Ayarcı-Operatörü (Elyaflı Plaka İmali)
8122.19,Tel Kaplama Makinesi Operatörü
8122.2,Trim Presi Makinesi Operatörü
8122.21,Çelik Kapı Boya İşçisi
8122.22,Eloksal Kaplama İşçisi
8122.23,Elektroliz İşçisi
8122.24,Krom Kaplama İşçisi (Elektroliz İle)
8122.25,Elektro Erozyon Tezgah İşçisi
8122.26,Emaye Daldırma İşçisi
8122.27,Emaye Fırınlama İşçisi
8122.28,Emaye Pistole İşçisi
8122.29,Emaye Hazırlama İşçisi
8122.3,Emaye İşçisi
8122.31,Alüminyum Sıvama Makinesi Operatörü
8122.32,Endüstriyel Fırın Ustası
8122.33,Endüstriyel Fırın İşçisi
8122.34,Metal Sıvama İşçisi (El ile)
8122.35,Askı-Paketleme ve İstifleme İşçisi(Metal)
8122.36,Metal Yüzey Kaplama Ustası
8131.01,"Diğer Kırma, öğütme, karıştırma Ve Silindiraj/ Kalandır İşçileri (Kimyasal Ve İlgili İşlemleri)"
8131.02,Ezme Makinesi Operatörü-Kimyasal Maddeler
8131.03,Karıştırma Makinesi Operatörü-Kimyasal Maddeler
8131.04,Kırma Makinesi Operatörü-Kimyasal Maddeler
8131.05,Öğütme Makinesi Operatörü (Kimyasal Ve İlgili İşlemler)
8131.06,Yoğurucu (Kimyasal Maddeler)
8131.07,Boya Kurutma Fırını İşçisi
8131.08,"Diğer Pişiriciler, Kavurucular Ve Haruri Muamele İşçileri (Kimyasal Ve İlgili İşlemler)"
8131.09,Fırın Operatörü (Çimento)
8131.1,Fırın Operatörü (Elektrot Pişirme)
8131.11,Kavurucu (Kimyasal Ve İlgili İşlemler)
8131.12,Kurutma Makinesi Operatörü-Kimyasal Ve İlgili İşlemler
8131.13,Otoklav Operatörü (Kimyasal Ve İlgili İşlemler)
8131.14,Pişirici (Kimyasal Ve İlgili İşlemler)
8131.15,Diğer Santrifüj-Seperatör Ve Filtre İşçileri (Kimyasal Ve İlgili İşlemler)
8131.16,Döner Dolap Filtrecisi-Kimyasal Süzme
8131.17,Katalizör Görevlisi (Sünger İmalatı)
8131.18,Santrifüj-Seperatör Makinesi Operatörü
8131.19,Süzme Presi Operatörü-Kimyasal ve ilgili işlemler
8131.2,Separatör İşçisi
8131.21,Diğer Aralıklı Ve Devamlı İşleyen İmbik Reaktör Operatörleri
8131.22,Evaporatör Operatörü-Kimyasal İşlemler
8131.23,İmbik Operatörü (Aralıklı İşleyen) (Petrol Hariç)
8131.24,İmbik Operatörü (Devamlı İşleyen) (Petrol Hariç)
8131.25,İmbikçi (Odun Distilasyonu) -Orman
8131.26,İmbikçi (Odun Terementini) -Orman
8131.27,İmbikçi (Sakız Terementini) -Orman
8131.28,Reaktör İşçisi (Boya)
8131.29,Yangın Söndürme Tüpü Dolum Makinesi Operatörü
8131.3,Diğer İlaç Ve Makyaj Malzemeleri İmalat İşçileri
8131.31,Kimyasal Beyazlatma Operatörü
8131.32,Makyaj Malzemesi İmalat İşçisi
8131.33,Süper Fosfatlı Gübre İmalat Makinesi Operatörü
8131.34,Gülyağı Üretim Ustası
8131.35,Gül Mamulleri İmalatçısı (Kozmetik Ürünler)
8131.36,Granül İmal İşçisi
8131.37,Kozmetik Sıvı Ürün Hazırlama İşçisi
8131.38,İlaç Üretim Operatörü (Beşeri ve Veteriner)
8131.39,Toz Dolum Makinesi Operatörü
8131.4,Aralıklı ve Devamlı İşleyen İmbik Reaktör Operatörü-Eczacılık ve Tuvalet Malzemeleri
8131.41,Kibrit İmal İşçisi
8131.42,Boya Hazırlayıcı (Tekstil)
8131.43,Boyahane Tesis Takip İşçisi
8131.44,Diğer Kimyasal İşlemciler Ve İlgili İşçiler
8131.45,Kurşun Kalem İmal İşçisi
8131.46,Linolyum İmal İşçisi
8131.47,Pil İmal İşçisi
8131.48,Proses İşçisi
8131.49,Pasta İşçisi (Boya)
8131.5,Hammadde Hazırlama İşçisi (Boya)
8131.51,Boya Renk Ayar Elemanı
8131.52,Şarj İşçisi (Boya)
8131.53,Varyant (Baskı Boya Mutfağı)
8131.54,Kireç Ocağı Ustası (Şeker İmalatı)
8131.55,Fotoğraf Filmi Ve Kağıdı İmal İşçisi
8131.56,Toz İlaç İmal İşçisi
8131.57,Tablet İlaç İmal İşçisi
8131.58,Şurup İmal İşçisi
8131.59,Süspansiyon İlaç İmal İşçisi
8131.6,Pomat İlaç İmal İşçisi
8131.61,Kristalizasyon İşçisi (Kimyasal İşlemler)
8131.62,Kolonya İmal İşçisi
8131.63,Kok Fırını İşçisi
8131.64,Kapsül İlaç İmal İşçisi
8131.65,Havagazı İstihsal İşçisi (Kömür)
8131.66,Draje İlaç İmal İşçisi
8131.67,Damla İlaç İmal İşçisi
8131.68,Ampul Solüsyon İlaç Hazırlama İşçisi
8131.69,Amonyum Sülfatlı Gübre İmal İşçisi
8131.7,Amonyum Nitratlı Gübre İmal İşçisi
8131.71,Boya Üretim Operatörü
8131.72,"Kompozit Ürün Üretim Elemanı (HKB, Sıcak Kalıplama)"
8131.73,Kompozit Ürün Üretim Elemanı (Elyaf Sarma ve Savurma Döküm)
8131.74,Kompozit Ürün Üretim Elemanı (Pultruzyon)
8131.75,"Kompozit Ürün Üretim Elemanı (El Yatırması, Püskürtme, RTM, İnfüzyon)"
8131.76,Kompozit Ürün Üretim Elemanı (Devamlı Levha)
8131.77,Formaldehit Tutkal İmalat Operatörü
8131.78,Formaldehit Tutkal İmalat Operatör Yardımcısı
8131.79,Polimer Üretim Elemanı
8131.8,Anfo Üretim Tesis İşçisi
8131.81,Kapsül Üretim Tesis İşçisi
8131.83,Parenteral İlaç İmal İşçisi
8131.84,İlaç Üretim Operatörü
8131.85,Havai fişek üretim makinesi operatörü
8131.86,Deterjan Üretim İşçisi
8131.87,Boya Üretimi Sorumlusu Yöneticisi
8131.88,Boya Üretim Sorumlusu
8131.89,Kimya Proses Operatör Yardımcısı
8131.9,Çözelti Hazırlama Elemanı
8131.91,Waelz Prosesi Fırın Operatörü
8131.92,Waelz Prosesi Saha İşçisi
8131.93,Waelz Prosesi Yıkama Arıtma Operatörü
8131.94,Waelz Prosesi Yıkama Arıtma Saha İşçisi
8131.95,Waelz Prosesi Filter Pres İşçisi
8131.96,Waelz Prosesi Kurutucu Fırın İşçisi
8131.97,Waelz Prosesi Paketleme Tesisi İşçisi
8131.98,Sabun İmalat Makinesi Operatörü
8131.99,"Sınai ve Tıbbi Gazlar Üretim, Dolum ve Depolama Elemanı"
8132.01,Developman İşçisi-Siyah Beyaz Fotoğraf
8132.02,Developman İşçisi-Renkli Fotoğraf
8132.04,Diğer Karanlık Oda İşçileri (Fotoğrafçılık)
8132.05,Fotoğraf Baskıcısı
8133.01,Gübre Üretim İşçisi
8133.02,Saç Boyası İmalat İşçisi
8141.01,Hortum Üretim Operatörü (Ekstrüzyon)
8141.02,Diğer Kauçuk Mamuller İmalat İşçileri
8141.03,Diğer Lastik İmalat İşçileri
8141.04,Dış Lastik Hazırlama İşçisi
8141.05,Dış Lastik Kalıpçısı
8141.06,Silikon Medikal Ürün İmalat İşçisi
8141.07,İç Lastik Hazırlama İşçisi
8141.08,İç Lastik Kalıplama İşçisi
8141.09,Kauçuk Çekme Makinesi Operatörü
8141.1,Kauçuk Damga İmal İşçisi
8141.11,Kauçuk Kalandır Makinesi Operatörü
8141.12,Kauçuk Kalıp Presi Operatörü
8141.13,Kauçuk Yoğurucu
8141.14,Lastik Ayakkabı İmal İşçisi
8141.15,Lastik Kalandır Makinesi Operatörü
8141.16,Otoklav Kazanı Operatörü-Kauçuk
8141.17,Vulkanizasyon İşçisi (Sıcak İşlem)
8141.18,Yoğurucu (Lastik)
8141.19,Drenaj Silikon İşçisi
8141.2,Lastik Üretim Operatörü (Motorlu Taşıtlar)
8141.21,Lastik Kaplama İşçisi
8141.22,Spor Malzemesi İmalat İşçisi (Kauçuk)
8141.23,Kauçuk Hortum Üretim Operatörü (Sarma)
8142.01,Polyester İmal İşçisi
8142.02,Diğer Plastik Mamuller İmalat İşçileri
8142.03,Plastik Çekme Makinesi Operatörü
8142.04,Plastik Doğramacı /PVC Doğrama-İmalat Ve Montajcısı
8142.05,Plastik Enjeksiyon Üretim Elemanı
8142.06,Plastik Kalandır Makinesi Operatörü
8142.07,Plastik Kalıp Makinesi Operatörü (Presle)
8142.08,Plastik Levha ve Dökme Film Üretim Operatörü (Ekstrüzyon)
8142.09,Plastik Mamuller İmal İşçisi
8142.1,Plastik Öğütme Makinesi Operatörü
8142.11,Plastik Yoğurucu
8142.12,Modelci-Plastik
8142.13,Plastik İşlemeci
8142.14,Galoş-Bone İmal İşçisi
8142.15,Jelkot Ustası
8142.16,Branda Pvc Kaplama İşçisi
8142.17,Küvet Ve Duş Tekne İmal İşçisi
8142.18,Termoset Plastik Kalıpçısı
8142.19,Plastik Ekstrüzyon Kalıpçısı
8142.2,Plastik Vakum Ambalaj Makinesi /Termoform Makinesi Operatörü
8142.21,Plastik Katlamalı Kutu Makinesi Operatörü
8142.22,Plastik Silindir Kutu Makinesi Operatörü
8142.23,Metalize Plastik Makinesi Operatörü
8142.24,Plastik Boru İmal İşçisi
8142.25,Polistren Yalıtım Malzemesi İmal İşçisi
8142.26,Strafor Enjeksiyon Makinesi Operatörü
8142.27,Plastik Enjeksiyon Sorumlusu
8142.28,Plastik Profil Üretim Operatörü (Ekstrüzyon)
8142.29,Plastik Şişirme Film Üretim Operatörü (Ekstrüzyon)
8142.3,Koli Bandı Kesme Makinesi Operatörü
8142.31,Plastik Ekstrüzyon Makinesi Operatörü (Ekstrüder)
8142.32,Pvc  Folyo Kaplama(Sarma) Makinesi Operatörü
8142.33,Plastik Doğrama Montaj Elemanı
8142.34,Tekne Ustası (Polyester)
8142.35,Sentetik Çuval İmal Makinesi Operatörü
8142.36,Plastik Geri Dönüşüm Makinesi Operatörü
8142.37,Plastik Kırma Makine Operatörü
8142.38,Pvc Folyo Kesme Makinesi Operatörü
8142.39,Bodinoz Makinesi Operatörü/Ambalaj-Poşet İmalat Ustası
8142.4,Endüstriyel Hava Yastığı İmal İşçisi
8142.41,Plastik Enjeksiyon Kalıpçısı
8142.42,Plastik Şişirme Kalıpçısı
8142.43,Plastik Film İşleme Operatörü
8142.44,Tıbbi Malzeme İmal İşçisi
8142.45,Ultrasonik Kaynak Makinesi Operatörü
8142.46,Plastik Modelleme Elemanı
8142.47,Poliüretan Makinesi Operatörü
8143.01,Karton Ve Mukavva Makinesi Operatörü (Yapıştırma Usulüyle)
8143.02,Karton Ve Mukavva Kutu İmal İşçisi (Makine İle)
8143.03,Karton Astarlama Makinesi Operatörü
8143.04,Karton Ve Mukavva Kutu Kesme Ve Katlama Presi Operatörü
8143.05,Karton Ve Mukavva Kutu İmal İşçisi (Makineyle) (Telle)
8143.06,Karton Pres Operatörü
8143.07,Kağıt Torba Ve Zarf İmal İşçisi (Makineyle)
8143.08,Selefon Torba İmal İşçisi (Makine İle)
8143.09,"Diğer, Kağıt Ve Karton Eşya İmalat İşçileri"
8143.1,Islak Mendil Kesim İşçisi
8143.11,Kağıt Peçete Katlama Makinası Operatörü
8143.12,Kağıt Mendil Katlama Makinası Operatörü
8143.13,Islak Mendil Etiketleme Makinesioperatörü
8143.14,Islak Havlu Mendil Makinesi Operatörü
8143.15,Islak Kutu Mendil Makinesi Operatörü
8143.16,Islak Mendil Rulo Besleme İşçisi
8143.17,Dipsiz Körüklütorba Makinesi Operatörü
8143.18,Kâğıt Şerit Saplı Torba Makinesioperatörü
8143.19,Burma Saplı Kağıt Torba Makinesi Operatörü
8143.2,Film Şeritli Kağıt Torba Makinesioperatörü
8143.21,Dipli/körüklü Kağıt Torba Makinesi Operatörü
8143.22,Su Geçirmez Kağıt Torba Makinesioperatörü
8143.23,Torba Kağıt Baskı Makinesi Operatörü
8143.24,Kağıt Torba Dikme Makinesi İşçisi
8143.25,Laminasyon Makinesi Operatörü
8143.26,Oluklu Mukavva Levha Üretim Elemanı
8143.27,Oluklu Mukavva Kutu Üretim Elemanı
8143.28,Oluklu Mukavva Dikiş-Yapıştırma Elemanı
8143.29,"Gri Karton, Şirenz Kağıt Üretim ve Laminasyon İşçisi"
8151.01,Kumaş Kırıştırma Makinesi Operatörü (Kraş)
8151.02,Bobin-Katlama-Büküm Makine Operatörü
8151.03,Bobin Kırıcı-İplik
8151.04,Bobin Sarıcı (Mensucat)
8151.05,Cer Makinesi Operatörü-Tekstil
8151.06,Çile Makinesi İşçisi
8151.07,Elyaf Açma Makineleri Operatörü
8151.08,Diğer İplik İşçileri Ve Sarıcıları
8151.09,Elyaf Kurutma Fırın Operatörü
8151.1,Elyaf Kurutucu (Sobada)
8151.11,Elyaf Sarıcı
8151.12,Fitil Katlayıcı
8151.13,Fitil (Flayer) Makineci
8151.14,Halat Sarma Makinesi Operatörü-Tekstil
8151.15,Harman-Hallaç Makinesi Operatörü
8151.16,İnce Etraj Makinesi İşçisi
