Source: https://www.bls.gov/soc/2018/home.htm - Direct match tile file,,,,
U.S. Bureau of Labor Statistics,,,,
On behalf of the Office of Management and Budget (OMB) and the Standard Occupational Classification Policy Committee (SOCPC),,,,
,,,,
"November 2017 (Updated April 15, 2020)",,,,
,,,,
***Questions should be emailed to soc@bls.gov***,,,,
,,,,
2018 SOC Code,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example,
45-2041,"Graders and Sorters, Agricultural Products",Fruit Sorter,x,
45-2041,"Graders and Sorters, Agricultural Products",Meat Grader,x,
45-2041,"Graders and Sorters, Agricultural Products",Oyster Sorter,,
45-2041,"Graders and Sorters, Agricultural Products",Peanut Grader,,
45-2041,"Graders and Sorters, Agricultural Products",Potato Sorter,,
45-2041,"Graders and Sorters, Agricultural Products",Seed Sorter,,
45-2041,"Graders and Sorters, Agricultural Products",Strawberry Sorter,,
45-2041,"Graders and Sorters, Agricultural Products",Vegetable Sorter,,
45-2041,"Graders and Sorters, Agricultural Products",Wool Grader,,
45-2091,Agricultural Equipment Operators,Cane Flume Chute Operator,,
45-2091,Agricultural Equipment Operators,Combine Driver,,
45-2091,Agricultural Equipment Operators,Combine Operator,x,
45-2091,Agricultural Equipment Operators,Corn Detasseler Machine Operator,,
45-2091,Agricultural Equipment Operators,Cotton Ginner,,
45-2091,Agricultural Equipment Operators,Cotton Picker Operator,,
45-2091,Agricultural Equipment Operators,Custom Harvester,,
45-2091,Agricultural Equipment Operators,Farm Tractor Operator,,
45-2091,Agricultural Equipment Operators,Feed Mixer Operator,x,
45-2091,Agricultural Equipment Operators,Hay Baler,x,
45-2091,Agricultural Equipment Operators,Hay Stacker Operator,,
45-2091,Agricultural Equipment Operators,Rake Operator,,
45-2091,Agricultural Equipment Operators,Replanting Machine Operator,,
45-2091,Agricultural Equipment Operators,Tractor Operator,x,
45-2091,Agricultural Equipment Operators,Wheat Combine Driver,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Cane Cutter,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Carrot Harvester,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Citrus Picker,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Corn Picker,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Cotton Picker,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Crop Picker,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Flower Picker,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Greenhouse Transplanter,x,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Harvest Worker,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Harvester,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Orchard Hand,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Orchard Worker,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Pecan Gatherer,x,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Pepper Picker,x,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Vineyard Tender,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Aquaculture Worker,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Barn Hand,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Barn Worker,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cattle Brander,x,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cattle Driver,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Chicken Handler,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Chicken Vaccinator,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cow Tender,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Egg Gatherer,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Farrowing Worker,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Goat Herder,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Groom,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Hatchery Worker,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Livestock Handler,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Poultry Debeaker,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Ranch Hand,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep Shearer,x,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Shrimp Pond Laborer,x,
45-2099,"Agricultural Workers, All Other",Crop Scout,x,
45-2099,"Agricultural Workers, All Other",Irrigation Worker,x,
45-2099,"Agricultural Workers, All Other",Livestock Showman,,
45-3031,Fishing and Hunting Workers,Alligator Hunter,,
45-3031,Fishing and Hunting Workers,Bird Trapper,x,
45-3031,Fishing and Hunting Workers,Commercial Crabber,,
45-3031,Fishing and Hunting Workers,Commercial Fisher,,
45-3031,Fishing and Hunting Workers,Crab Fisher,,
45-3031,Fishing and Hunting Workers,Crabber,,
45-3031,Fishing and Hunting Workers,Deer Hunter,x,
45-3031,Fishing and Hunting Workers,Fishing Boat Captain,,
45-3031,Fishing and Hunting Workers,Fur Trapper,,
45-3031,Fishing and Hunting Workers,Lobster Catcher,,
45-3031,Fishing and Hunting Workers,Oyster Boat Laborer,,
45-3031,Fishing and Hunting Workers,Predator Control Trapper,,
45-3031,Fishing and Hunting Workers,Predatory Animal Exterminator,,
45-3031,Fishing and Hunting Workers,Predatory Animal Hunter,,
45-3031,Fishing and Hunting Workers,Predatory Animal Trapper,x,
45-3031,Fishing and Hunting Workers,Seaweed Harvester,x,
45-3031,Fishing and Hunting Workers,Shellfish Dredge Operator,,
45-3031,Fishing and Hunting Workers,Wild Oyster Harvester,x,
45-4011,Forest and Conservation Workers,Forest Nursery Worker,,
45-4011,Forest and Conservation Workers,Forester Aide,,
45-4011,Forest and Conservation Workers,Forestry Laborer,x,
45-4011,Forest and Conservation Workers,Pine Straw Gatherer,,
45-4011,Forest and Conservation Workers,Rangelands Conservation Laborer,x,
45-4011,Forest and Conservation Workers,Reforestation Worker,x,
45-4011,Forest and Conservation Workers,Seedling Puller,,
45-4011,Forest and Conservation Workers,Wetlands Conservation Laborer,x,
45-4021,Fallers,Lumberjack,x,
45-4021,Fallers,Pulpwood Cutter,x,
45-4021,Fallers,Timber Cutter,x,
45-4021,Fallers,Timber Faller,,
45-4021,Fallers,Timber Feller,,
45-4022,Logging Equipment Operators,Combination Slasher-Loader Operator,,
45-4022,Logging Equipment Operators,Delimber Operator,,
45-4022,Logging Equipment Operators,Feller Buncher Operator,,
45-4022,Logging Equipment Operators,Feller Operator,,
45-4022,Logging Equipment Operators,Grapple Operator,,
45-4022,Logging Equipment Operators,Grapple Skidder Operator,x,
45-4022,Logging Equipment Operators,Loader Operator,,
45-4022,Logging Equipment Operators,Log Chipper Operator,,
45-4022,Logging Equipment Operators,Log Hauler,x,
45-4022,Logging Equipment Operators,Log Loader Operator,,
45-4022,Logging Equipment Operators,Log Processor Operator,,
45-4022,Logging Equipment Operators,Log Stacker Operator,,
45-4022,Logging Equipment Operators,Logging Cable Skidder Operator,,
45-4022,Logging Equipment Operators,Logging Clam Bunk Operator,,
45-4022,Logging Equipment Operators,Logging Crane Operator,,
45-4022,Logging Equipment Operators,Logging Excavator Operator,,
45-4022,Logging Equipment Operators,Logging Forwarder Operator,,
45-4022,Logging Equipment Operators,Logging Operating Engineer,,
45-4022,Logging Equipment Operators,Logging Shovel Operator,,
45-4022,Logging Equipment Operators,Logging Slasher Operator,,
45-4022,Logging Equipment Operators,Logging Tractor Operator,x,
45-4022,Logging Equipment Operators,Lumber Stacker Operator,x,
45-4022,Logging Equipment Operators,Timber Harvester Operator,,
45-4022,Logging Equipment Operators,Tree Crusher Operator,,
45-4022,Logging Equipment Operators,Tree-Shear Operator,,
45-4023,Log Graders and Scalers,Log Check Scaler,x,
45-4023,Log Graders and Scalers,Log Grader,,
45-4023,Log Graders and Scalers,Log Scaler,,
45-4023,Log Graders and Scalers,Log Sorter,,
45-4023,Log Graders and Scalers,Timber Estimator,x,
45-4023,Log Graders and Scalers,Veneer Grader,x,
45-4029,"Logging Workers, All Other",Log Cutter,,
45-4029,"Logging Workers, All Other",Log Peeler,,
45-4029,"Logging Workers, All Other",Log Roper,x,
45-4029,"Logging Workers, All Other",Logging Laborer,,
45-4029,"Logging Workers, All Other",Logging Swamper,,
45-4029,"Logging Workers, All Other",Rigging Slinger,x,
45-4029,"Logging Workers, All Other",Timber Hand,x,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Carpenter Supervisor,x,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Drilling Foreman,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Electrician Supervisor,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Excavating Supervisor,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Foreman,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Foreperson,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Forewoman,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Quarry Boss,x,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Rig Supervisor,x,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Roustabout Crew Leader,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Segmental Paving Supervisor,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Solar Panel Installation Supervisor,x,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Tool Pushers,,
47-2011,Boilermakers,Boiler Fitter,,
47-2011,Boilermakers,Boiler Installer,x,
47-2011,Boilermakers,Boiler Mechanic,x,
47-2011,Boilermakers,Boiler Setter,,
47-2011,Boilermakers,Boiler Tester,x,
47-2011,Boilermakers,Boilermaker Mechanic,,
47-2021,Brickmasons and Blockmasons,Adobe Layer,x,
47-2021,Brickmasons and Blockmasons,Block Layer,,
47-2021,Brickmasons and Blockmasons,Blockmason,,
47-2021,Brickmasons and Blockmasons,Brick Chimney Builder,x,
47-2021,Brickmasons and Blockmasons,Brick Setter,,
47-2021,Brickmasons and Blockmasons,Bricklayer,,
47-2021,Brickmasons and Blockmasons,Brickmason,,
47-2021,Brickmasons and Blockmasons,Brickmason Apprentice,,
47-2021,Brickmasons and Blockmasons,Firebrick Layer,,
47-2021,Brickmasons and Blockmasons,Furnace Mason,,
47-2021,Brickmasons and Blockmasons,Pottery Kiln Builder,,
47-2021,Brickmasons and Blockmasons,Refractory Bricklayer,x,
47-2022,Stonemasons,Banker Mason,,
47-2022,Stonemasons,Curbstone Setter,x,
47-2022,Stonemasons,Granite Setter,x,
47-2022,Stonemasons,Memorial Mason,,
47-2022,Stonemasons,Monument Mason,x,
47-2022,Stonemasons,Rock Mason,,
47-2022,Stonemasons,Stone Chimney Mason,,
47-2022,Stonemasons,Stone Layer,,
47-2031,Carpenters,Beam Builder,,
47-2031,Carpenters,Building Carpenter,x,
47-2031,Carpenters,Construction Carpenter,,
47-2031,Carpenters,Counter Installer,,
47-2031,Carpenters,Custom Wood Stair Builder,x,
47-2031,Carpenters,Finish Carpenter,,
47-2031,Carpenters,Hardwood Floor Installer,,
47-2031,Carpenters,House Carpenter,,
47-2031,Carpenters,Wood Floor Layer,x,
47-2041,Carpet Installers,Carpet Layer,x,
47-2041,Carpet Installers,Commercial Carpet Installer,,
47-2041,Carpet Installers,Residential Carpet Installer,,
47-2041,Carpet Installers,Wall-to-Wall Carpet Installer,x,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Composition Floor Layer,x,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Cork Floor Installer,x,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Laminate Floor Installer,,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Linoleum Installer,x,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Resilient Tile Installer,,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Shock-Absorption Floor Layer,x,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Vinyl Flooring Installer,,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Vinyl Installer,,
47-2043,Floor Sanders and Finishers,Floor Finisher,,
47-2043,Floor Sanders and Finishers,Floor Refinisher,,
47-2043,Floor Sanders and Finishers,Floor Sander,,
47-2043,Floor Sanders and Finishers,Floor Sanding Machine Operator,x,
47-2043,Floor Sanders and Finishers,Floor Scraper,x,
47-2043,Floor Sanders and Finishers,Hardwood Finisher,x,
47-2044,Tile and Stone Setters,Ceramic Tile Installer,x,
47-2044,Tile and Stone Setters,Hard Tile Setter,x,
47-2044,Tile and Stone Setters,Marble Ceiling Installer,x,
47-2044,Tile and Stone Setters,Parquet Floor Layer,x,
47-2044,Tile and Stone Setters,Tile Installer,,
47-2044,Tile and Stone Setters,Tile Mason,,
47-2044,Tile and Stone Setters,Wood Tile Installer,,
47-2051,Cement Masons and Concrete Finishers,Cement Mason,,
47-2051,Cement Masons and Concrete Finishers,Cement Patcher,x,
47-2051,Cement Masons and Concrete Finishers,Concrete Finisher,,
47-2051,Cement Masons and Concrete Finishers,Concrete Floor Installer,x,
47-2051,Cement Masons and Concrete Finishers,Concrete Mason,,
47-2051,Cement Masons and Concrete Finishers,Concrete Smoother,,
47-2051,Cement Masons and Concrete Finishers,Concrete Swimming Pool Installer,x,
47-2053,Terrazzo Workers and Finishers,Granite-Chip Terrazzo  Finisher,,
47-2053,Terrazzo Workers and Finishers,Marble-Chip Terrazzo Worker,,
47-2053,Terrazzo Workers and Finishers,Onyx-Chip Terrazzo Worker,x,
47-2053,Terrazzo Workers and Finishers,Rustic Terrazzo Setter,,
47-2053,Terrazzo Workers and Finishers,Terrazzo Finisher,,
47-2053,Terrazzo Workers and Finishers,Terrazzo Grinder,x,
47-2053,Terrazzo Workers and Finishers,Terrazzo Installer,,
47-2053,Terrazzo Workers and Finishers,Terrazzo Layer,,
47-2053,Terrazzo Workers and Finishers,Terrazzo Setter,x,
47-2053,Terrazzo Workers and Finishers,Terrazzo Worker,,
47-2061,Construction Laborers,Air Hammer Operator,x,
47-2061,Construction Laborers,Construction Craft Laborer,x,
47-2061,Construction Laborers,Construction Trench Digger,x,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",Asphalt Paver,,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",Asphalt Paving Machine Operator,,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",Asphalt Roller Operator,x,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",Asphalt Tamping Machine Operator,,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",Blacktop-Paver Operator,x,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",Paver Operator,,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",Screed Operator,,
47-2072,Pile Driver Operators,Diesel Pile Hammer Operator,,
47-2072,Pile Driver Operators,Hydraulic Pile Hammer Operator,x,
47-2072,Pile Driver Operators,Hydraulic Press-In Operator,,
47-2072,Pile Driver Operators,Vibratory Pile Driver,x,
47-2073,Operating Engineers and Other Construction Equipment Operators,Angle Dozer Operator,,
47-2073,Operating Engineers and Other Construction Equipment Operators,Blade Grader Operator,,
47-2073,Operating Engineers and Other Construction Equipment Operators,Construction Backhoe Operator,,
47-2073,Operating Engineers and Other Construction Equipment Operators,Construction Bulldozer Operator,x,
47-2073,Operating Engineers and Other Construction Equipment Operators,Construction Excavator,,
47-2073,Operating Engineers and Other Construction Equipment Operators,Construction Shovel Operator,,
47-2073,Operating Engineers and Other Construction Equipment Operators,Ditching Machine Operating Engineer,,
47-2073,Operating Engineers and Other Construction Equipment Operators,Grader Operator,,
47-2073,Operating Engineers and Other Construction Equipment Operators,Motor Grader Operator,,
47-2073,Operating Engineers and Other Construction Equipment Operators,Road Grader,x,
47-2073,Operating Engineers and Other Construction Equipment Operators,Scraper Operator,,
47-2073,Operating Engineers and Other Construction Equipment Operators,Steam Shovel Operating Engineer,,
47-2073,Operating Engineers and Other Construction Equipment Operators,Steam Shovel Operator,x,
47-2081,Drywall and Ceiling Tile Installers,Acoustical Ceiling Installer,x,
47-2081,Drywall and Ceiling Tile Installers,Drywall Applicator,,
47-2081,Drywall and Ceiling Tile Installers,Drywall Finisher,x,
47-2081,Drywall and Ceiling Tile Installers,Drywall Hanger,,
47-2081,Drywall and Ceiling Tile Installers,Drywall Installer,,
47-2081,Drywall and Ceiling Tile Installers,Drywall Sander,,
47-2081,Drywall and Ceiling Tile Installers,Drywall Stripper,,
47-2081,Drywall and Ceiling Tile Installers,Drywall Worker,,
47-2081,Drywall and Ceiling Tile Installers,Sheet Rock Applier,,
47-2081,Drywall and Ceiling Tile Installers,Sheet Rock Hanger,x,
47-2081,Drywall and Ceiling Tile Installers,Sheet Rock Installer,,
47-2081,Drywall and Ceiling Tile Installers,Sheet Rock Worker,,
47-2082,Tapers,Drywall Taper,x,
47-2082,Tapers,Sheet Rock Taper,x,
47-2082,Tapers,Wall Taper,x,
47-2111,Electricians,Chief Electrician,,
47-2111,Electricians,Control Electrician,,
47-2111,Electricians,Electrical Maintenance Worker,,
47-2111,Electricians,Electrical Sign Wirer,x,
47-2111,Electricians,House Wirer,,
47-2111,Electricians,Licensed Electrician,,
47-2111,Electricians,Lighting Fixture Installer,,
47-2111,Electricians,Marine Electrician,,
47-2111,Electricians,Master Electrician,x,
47-2111,Electricians,Solar Photovoltaic Electrician,x,
47-2111,Electricians,Stage Electrician,,
47-2121,Glaziers,Leaded Glass Installer,,
47-2121,Glaziers,Plate Glass Installer,x,
47-2121,Glaziers,Stained Glass Glazier,,
47-2121,Glaziers,Stained Glass Installer,,
47-2121,Glaziers,Stained Glass Joiner,x,
47-2121,Glaziers,Window Glazier,,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Ceiling Insulation Blower,x,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Composition Weatherboard Installer,x,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Cork Insulation Installer,,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Cork Insulator,,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Insulation Machine Operator,,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Interior Surface Insulation Worker,x,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Wall Insulation Sprayer,,
47-2132,"Insulation Workers, Mechanical",Boiler Coverer,x,
47-2132,"Insulation Workers, Mechanical",Heat and Frost Insulator,,
47-2132,"Insulation Workers, Mechanical",Pipe Coverer,x,
47-2132,"Insulation Workers, Mechanical",Pipe Insulator,x,
47-2132,"Insulation Workers, Mechanical",Refrigeration Insulator,,
47-2132,"Insulation Workers, Mechanical",Sheet Metal Insulator,,
47-2141,"Painters, Construction and Maintenance",Bridge Painter,x,
47-2141,"Painters, Construction and Maintenance",Facilities Painter,,
47-2141,"Painters, Construction and Maintenance",Highway Painter,,
47-2141,"Painters, Construction and Maintenance",House Painter,x,
47-2141,"Painters, Construction and Maintenance",Industrial Painter,,
47-2141,"Painters, Construction and Maintenance",Parking Line Painter,,
47-2141,"Painters, Construction and Maintenance",Roof Painter,,
47-2141,"Painters, Construction and Maintenance",Traffic Line Painter,x,
47-2142,Paperhangers,Billboard Poster,x,
47-2142,Paperhangers,Wall Covering Installer,x,
47-2142,Paperhangers,Wallpaper Hanger,,
47-2142,Paperhangers,Wallpaperer,x,
47-2151,Pipelayers,Cast-Iron Drain Pipe Layer,x,
47-2151,Pipelayers,Pipe Layer,,
47-2151,Pipelayers,Sewer Pipe Layer,,
47-2151,Pipelayers,Trench Pipe Layer,x,
47-2151,Pipelayers,Water Main Pipe Layer,x,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Fire Sprinkler Installer,x,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Gas Main Fitter,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Gas Plumber,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Hydraulic Plumber,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Industrial Gas Fitter,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Marine Pipefitter,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Marine Steamfitter,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Master Plumber,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Pipe Fitter,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Plumber,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Solar Thermal Installer,x,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Sprinkler Fitter,x,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Steamfitter,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",Water Pump Installer,,
47-2161,Plasterers and Stucco Masons,Dry Plasterer,,
47-2161,Plasterers and Stucco Masons,Journey Level Plasterer,,
47-2161,Plasterers and Stucco Masons,Molding Plasterer,,
47-2161,Plasterers and Stucco Masons,Ornamental Plasterer,x,
47-2161,Plasterers and Stucco Masons,Plasterer Apprentice,,
47-2161,Plasterers and Stucco Masons,Stucco Plasterer,,
47-2161,Plasterers and Stucco Masons,Stucco Worker,x,
47-2161,Plasterers and Stucco Masons,Swimming Pool Plasterer,x,
47-2171,Reinforcing Iron and Rebar Workers,Post Tensioning Ironworker,x,
47-2171,Reinforcing Iron and Rebar Workers,Rebar Worker,,
47-2171,Reinforcing Iron and Rebar Workers,Reinforcing Steel  Worker,,
47-2171,Reinforcing Iron and Rebar Workers,Rod Buster,,
47-2171,Reinforcing Iron and Rebar Workers,Steel Rod Buster,x,
47-2171,Reinforcing Iron and Rebar Workers,Steel Tier,,
47-2181,Roofers,Composition Roofer,,
47-2181,Roofers,Hot Tar Roofer,x,
47-2181,Roofers,Industrial Roofer,,
47-2181,Roofers,Metal Roofing Mechanic,,
47-2181,Roofers,Residential Roofer,,
47-2181,Roofers,Sheet Metal Roofer,,
47-2181,Roofers,Shingles Roofer,x,
47-2181,Roofers,Slate Roofer,,
47-2181,Roofers,Terra Cotta Roofer,x,
47-2211,Sheet Metal Workers,Air Conditioning Sheet Metal Installer,,
47-2211,Sheet Metal Workers,"Heating, Ventilation, and Air Conditioning  (HVAC) Sheet Metal Installer",x,
47-2211,Sheet Metal Workers,Sheet Metal Duct Installer,,
47-2211,Sheet Metal Workers,Sheet Metal Fabricator,,
47-2211,Sheet Metal Workers,Sheet Metal Former,x,
47-2211,Sheet Metal Workers,Sheet Metal Installer,,
47-2211,Sheet Metal Workers,Sheet Metal Layout Mechanic,,
47-2211,Sheet Metal Workers,Sheet Metal Layout Worker,,
47-2211,Sheet Metal Workers,Tinsmith,x,
47-2221,Structural Iron and Steel Workers,Bridge Ironworker,x,
47-2221,Structural Iron and Steel Workers,Construction Ironworker,,
47-2221,Structural Iron and Steel Workers,Iron Guardrail Installer,,
47-2221,Structural Iron and Steel Workers,Metal Tank Erector,,
47-2221,Structural Iron and Steel Workers,Ornamental Ironworker,,
47-2221,Structural Iron and Steel Workers,Precast Concrete Ironworker,x,
47-2221,Structural Iron and Steel Workers,Pre-Engineered Metal Building Ironworker,,
47-2221,Structural Iron and Steel Workers,Steel Fabricator,,
47-2221,Structural Iron and Steel Workers,Steel Fitter,,
47-2221,Structural Iron and Steel Workers,Structural Steel Erector,,
47-2221,Structural Iron and Steel Workers,Wind Turbine Erector,x,
47-2231,Solar Photovoltaic Installers,Photovoltaic (PV) Installation Technician,x,
47-2231,Solar Photovoltaic Installers,PV Installer,,
47-2231,Solar Photovoltaic Installers,PV Panel Installer,,
47-2231,Solar Photovoltaic Installers,Solar PV Installer,x,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Adobe Layer Helper,,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Brick Carrier,x,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Brick Washer,x,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Bricklayer Helper,,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Ceramic Tile Installation Helper,,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Chimney Builder Helper,,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Firebrick Layer Helper,,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Marble Installation Helper,,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Mortar Mixer,,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Parquet Floor Layer's Helper,,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Refractory Tile Helper,x,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Wood Tile Installation Helper,,
47-3012,Helpers--Carpenters,Beam Builder Helper,,
47-3012,Helpers--Carpenters,Building Carpenter Helper,,
47-3012,Helpers--Carpenters,Carpenter Assistant,x,
47-3012,Helpers--Carpenters,Carpenter Helper,,
47-3012,Helpers--Carpenters,Construction Carpenters Helper,,
47-3012,Helpers--Carpenters,Hardwood Floor Installation Helper,x,
47-3012,Helpers--Carpenters,House Carpenter Helper,,
47-3013,Helpers--Electricians,Electrical Sign Wirer Helper,,
47-3013,Helpers--Electricians,Electrician's Assistant,,
47-3013,Helpers--Electricians,House Wirer Helper,,
47-3013,Helpers--Electricians,Marine Electrician Helper,x,
47-3013,Helpers--Electricians,Stage Electrician Helper,x,
47-3013,Helpers--Electricians,Utilities Ground Worker,,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Billboard Poster Helper,,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Bridge Painter Helper,x,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Dry Plasterer Helper,x,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Highway Painter Helper,,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",House Painter Helper,,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Ornamental Plasterer Helper,,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Plaster Tender,,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Ship Painter Helper,,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Swimming Pool Plasterer Helper,,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Wallpaper Hanger Helper,,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Wallpaperer Helper,x,
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Gas Main Fitter Helper,,
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Hydraulic Plumber Helper,,
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Industrial Gas Fitter Helper,x,
